Name,Location,Region,Length,Type,Year
Guangzhou Metro Line 3,Guangzhou,China,60400,Metro,2010
Gotthard Base Tunnel,Central Swiss Alps,Switzerland,57104,Railway,2016
Beijing Subway Line 10,Beijing,China,57100,Metro,2012
Seikan Tunnel,Tsugaru Strait,Japan,53850,Railway,1988
Channel Tunnel,English Channel,United Kingdom/France,50450,Railway,1994
Seoul Subway: Line 5,Seoul,South Korea,47600,Metro,1995
Serpukhovsko-Timiryazevskaya Line,Moscow Metro,Russia,41500,Metro,1983
Metro Madrid: L-12(Metro Sur),Madrid,Spain,40900,Metro,1999
Tocho-mae - Shiodome -Hikarigaoka (Toei Oedo Line),Tokyo,Japan,40700,Metro,1991
Shanghai Subway: Line 7,Shanghai,China,40200,Metro,2011
Chengdu Metro Line 2,Chengdu,China,38643,Metro,2013
Seoul Subway: Line 3(Apgujeong-Ogeum),Seoul,South Korea,38200,Metro,2010
Kaluzhsko-Rizhskaya Line,Moscow Metro,Russia,37800,Metro,1958
Shenzhen Subway:Luobao Line,Shenzhen,China,37497,Metro,2011
Shenzhen Subway:Shekou Line,Shenzhen,China,36146,Metro,2011
Mass Rapid Transit (Singapore): Circle Line,Singapore,Singapore,35700,Metro,2012
Busan Metro: Line 2(Dongwon-Jangsan),Busan,South Korea,35500,Metro,2009
Seoul Subway: Line 6,Seoul,South Korea,35100,Metro,2001
Seoul Subway: Line 7(Cheongdam-Bupyeong-gu Office),Seoul,South Korea,35100,Metro,2012
L tschberg Base Tunnel,Bernese Alps,Switzerland,34577,Railway,2007
Metro Madrid: L-7,Madrid,Spain,32919,Metro,1974
New Guanjiao Tunnel,Qinghai,China,32645,Railway,2014
Meijo Line - Meik Line,Nagoya Municipal Subway,Japan,32400,Metro,1965
Guangzhou Subway: Line 2,Guangzhou,China,32000,Metro,2010
Rathaus Spandau-Rudow(U7),Berlin U-Bahn,Germany,31800,Metro,1924
Seoul Metropolitan Subway: Bundang Line(Seoul Forest-Jukjeon),Seoul,South Korea,31400,Metro,1994
Daegu Metro: Line 2,<missing>,South Korea,31400,Metro,2005
Beijing Subway: Line 1,Beijing,China,31040,Metro,1971
Beijing Subway: Line 4,Beijing,China,30950,Metro,2009
Côte-Vertu -Montmorency (Line 2 Orange),Montreal Metro,Canada,30798,Metro,1966
Shanghai Subway: Line 2,Shanghai,China,30187,Metro,2000
Parnas - Kupchino (line 2),Saint Petersburg Metro,Russia,30100,Metro,1961
Guangzhou Subway: Line 5,Guangzhou,China,29900,Metro,2009
Shanghai Subway: Line 8,Shanghai,China,29650,Metro,2007
Prospekt Veteranov - Devyatkino (line 1),Saint Petersburg Metro,Russia,29600,Metro,1955
Shanghai Subway: Line 10,Shanghai,China,29600,Metro,2010
Taipei Metro: Blue Line,Taipei,Taiwan,28200,Metro,1999
Guadarrama Tunnel,Sierra de Guadarrama,Spain,28377,Railway,2007
Lyublinsko-Dmitrovskaya Line,Moscow Metro,Russia,28200,Metro,1995
Seoul Subway: Line 9(Gimpo Airport-Sports Complex),Seoul,South Korea,28100,Metro,2015
Taihang Tunnel,Taihang Mountains,China,27848,Railway,2007
Morden - East Finchley(Northern line),London Underground,United Kingdom,27800,Metro,1890
Shenyang Subway: Line 1,Shenyang,China,27800,Metro,2010
Seoul Metropolitan Subway: Incheon Line 1(Bakchon-International Business District),Incheon,South Korea,27000,Metro,1999
MRT Blue Line,Bangkok,Thailand,27000,Metro,2004
Dainichi-Nagahara(Tanimachi Line),Osaka Municipal Subway,Japan,26900,Metro,1967
