Player,Year,Team,Pos,G,AB,R,H,B2,B3,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
"Gehrig, L",1932,NYY,1B,156,596,138,208,42,9,34,151,108,38,4,11,0.349,0.451,0.621,1.072
"Ott, M",1929,NYG,OF,150,545,138,179,37,2,42,151,113,38,6,NaN,0.328,0.449,0.635,1.084
"Simmons, A",1932,PHA,OF,154,670,144,216,28,9,35,151,47,76,4,2,0.322,0.368,0.548,0.915
"Galarraga, A",1996,COL,1B,159,626,119,190,39,3,47,150,40,157,18,8,0.304,0.357,0.601,0.958
"Greenberg, H",1940,DET,1B,148,573,129,195,50,8,41,150,93,75,6,3,0.34,0.433,0.67,1.103
"Tejada, M",2004,BAL,SS,162,653,107,203,40,2,34,150,48,73,4,1,0.311,0.36,0.534,0.894
"Foster, G",1977,CIN,OF,158,615,124,197,31,2,52,149,61,107,6,4,0.32,0.382,0.631,1.013
"Hornsby, R",1929,CHC,2B,156,602,156,229,47,8,39,149,87,65,2,NaN,0.38,0.459,0.679,1.139
"Howard, R",2006,PHI,1B,159,581,104,182,25,1,58,149,108,181,0,0,0.313,0.425,0.659,1.084
"Belle, A",1996,CLE,LF,158,602,124,187,38,3,48,148,99,87,11,0,0.311,0.41,0.623,1.033
"Bench, J",1970,CIN,C,158,605,97,177,35,4,45,148,54,102,5,2,0.293,0.345,0.587,0.932
"Ortiz, D",2005,BOS,DH,159,601,119,180,40,1,47,148,102,124,1,0,0.3,0.397,0.604,1.001
"Palmeiro, R",1999,TEX,1B,158,565,96,183,30,1,47,148,97,69,2,4,0.324,0.42,0.63,1.05
"Anson, C",1886,CHI,1B,125,504,117,187,35,11,10,147,55,19,29,NaN,0.371,0.433,0.544,0.977
"Griffey, K",1997,SEA,CF,157,608,125,185,34,3,56,147,76,121,15,4,0.304,0.382,0.646,1.028
"Helton, T",2000,COL,1B,160,580,138,216,59,2,42,147,103,61,5,3,0.372,0.463,0.698,1.162
"McGwire, M",1999,STL,1B,153,521,118,145,21,1,65,147,133,141,0,0,0.278,0.424,0.697,1.12
"McGwire, M",1998,STL,1B,155,509,130,152,21,0,70,147,162,155,1,0,0.299,0.47,0.752,1.222
"Delahanty, E",1893,PHI,OF,132,595,145,219,35,18,19,146,47,20,37,NaN,0.368,0.423,0.583,1.007
