ax,ay,az
0.023,-1.853,-1.891
-0.462,1.066,1.309
0.313,1.336,-0.839
0.362,3.339,-1.332
1.126,0.797,2.027
-0.546,-2.001,0.496
-0.663,-2.576,-1.161
0.02,-1.249,-0.385
-0.298,2.227,0.322
0.779,3.377,-0.788
-1.925,0.723,2.132
-0.35,-4.114,-1.129
-0.004,-2.445,-2.003
-1.722,2.219,1.255
-0.412,2.935,-0.665
0.914,2.358,-0.486
2.116,-1.067,-0.381
-0.742,-1.485,0.872
-1.219,-1.962,-1.188
0.79,0.594,-0.302
0.548,2.919,0.42
-1.159,1.641,0.029
-0.973,-0.929,-0.527
-0.499,-3.291,-0.176
-0.068,-1.012,-1.733
-0.743,1.966,1.016
0.2,2.775,0.151
1.514,0.486,1.996
0.409,1.065,0.207
-1.685,-2.853,0.261
0.069,-2.768,-1.673
0.782,0.897,-0.72
-0.158,4.896,0.599
-2.917,1.427,4.464
-1.853,-2.84,0.457
-0.557,-3.534,-1.567
0.105,-0.126,-1.163
-0.246,2.908,0.91
1.575,2.347,-0.024
2.094,-0.233,1.642
-0.377,-0.834,1.228
-1.64,-2.713,-0.674
-0.309,-1.159,-2.519
-0.011,2.102,0.293
-0.754,2.999,-0.717
-1.587,1.062,1.641
-1.142,-2.363,-0.365
0.309,-2.876,-2.037
-0.193,0.887,0.277
0.342,2.817,0.717
-0.048,3.473,-0.676
1.69,-1.19,-0.179
-0.404,-1.358,0.563
-1.185,-1.905,-0.481
-0.162,-0.02,-1.113
0.355,2.808,0.626
0.574,2.808,-0.367
-1.364,-0.047,0.234
-0.753,-3.83,-1.258
0.366,-2.18,-2.406
-0.718,2.046,2.52
-0.286,3.496,0.062
1.091,1.36,-0.257
1.896,-0.552,-0.236
-1.494,-1.186,1.562
-0.407,-2.237,-1.278
-0.201,-0.089,-0.59
-0.526,2.465,0.613
-0.787,2.907,0.095
-0.596,-0.376,-0.377
-0.383,-3.147,-0.786
0.011,-0.517,-1.162
-0.855,1.175,1.298
0.092,1.956,0.016
0.541,1.496,0.542
1.226,0.268,-0.884
-1.381,-2.509,1.383
-0.218,-2.409,-1.032
0.227,0.844,-0.733
0.8,0.738,0.4
-2.523,2.92,2.286
-0.713,-0.55,-0.099
0.453,-2.706,-0.549
-0.225,-0.681,-0.661
-1.099,1.062,1.289
-0.455,1.975,-0.256
-0.366,1.487,0.32
1.72,0.772,-0.554
-0.909,-1.665,2.041
-1.097,-3.562,-0.886
0.948,-0.176,-2.259
1.009,3.385,1.973
-2.12,3.874,1.957
0.209,-1.796,0.529
-0.562,-3.915,-0.758
-0.135,-1.353,-2.321
-0.938,1.362,1.252
0.387,2.03,-1.104
0.089,1.368,-0.718
2.365,1.297,-0.376
-1.784,-2.118,0.916
-0.077,-3.753,0.364
0.885,-0.693,-0.419
-0.252,4.896,-0.51
