ax,ay,az
-0.637,-0.53,-1.962
-0.671,0.578,-0.791
-1.177,2.184,-0.685
3.786,-1.264,2.841
0.926,-1.503,-0.697
-0.223,-1.587,-1.983
-0.487,0.117,-0.741
-0.014,1.936,-0.841
-2.658,3.501,-0.79
-1.84,0.298,-0.608
0.649,-1.705,1.248
-0.053,-1.143,-1.033
-1.251,-0.311,-0.581
0.027,0.875,0.746
2.52,0.687,1.656
-0.316,-0.155,-1.419
0.848,-1.754,-0.597
-1.247,-1.202,-1.341
-0.445,0.674,0.056
-1.553,3.083,-0.709
3.596,-1.588,3.991
-1.242,0.159,-0.37
0.378,-1.305,1.372
-1.105,-0.772,-1.92
-1.208,1.17,-0.714
0.14,1.988,0.239
3.961,-1.68,2.805
-0.959,-0.768,-1.874
0.192,-0.556,-0.276
-0.276,-0.037,-0.2
-0.302,1.33,-1.21
-1.144,2.647,-1.235
-0.856,0.54,0.029
0.49,-0.893,0.104
0.522,-1.89,1.134
-0.935,-0.578,-1.278
-0.456,1.139,0.044
-0.503,1.988,0.26
3.091,-1.625,4.145
-0.385,-0.497,-1.581
-0.712,-0.513,-1.523
-0.667,0.482,-0.51
-0.493,2.219,-0.089
-0.113,2.243,-0.89
-2.654,-0.339,0.718
1.37,-0.829,2.37
-0.238,-1.099,-1.082
-0.397,-0.805,-0.416
0.762,0.834,0.409
1.031,0.712,0.041
-0.003,0.446,-0.412
0.468,-1.485,-1.026
-1.224,-0.874,-1.399
-0.653,0.953,-0.304
-1.641,3.813,1.053
0.523,-1.385,2.601
0.492,-1.188,1.202
0.898,-1.516,-1.21
-0.573,-0.723,-0.977
0.252,1.159,-0.2
-0.595,2.734,-1.394
1.462,-1.334,1.671
1.224,-2.177,-0.005
-1.161,-0.377,-1.929
-0.129,0.768,0.15
-1.355,2.464,0.766
0.199,-0.389,1.519
-1.528,0.13,-0.002
0.015,-1.059,0.614
0.285,-0.878,-0.401
-0.405,0.831,-0.328
-1.57,1.841,-2.574
2.744,-0.459,3.685
0.985,-1.43,-1.581
-0.829,-1.054,-1.792
-0.797,0.319,-0.268
-2.006,1.434,-2.266
-1.175,3.924,2.287
-1.861,0.825,1.259
-0.081,-2.143,-0.163
1.717,-0.649,1.665
-0.362,-1.172,0.518
-0.766,-1.18,-0.593
4.019,1.625,2.52
0.707,0.446,1.662
-0.965,-3.157,-1.504
-0.499,-1.659,-0.893
0.83,2.007,0.371
0.738,3.324,-0.745
1.958,-0.027,3.205
-1.689,-0.557,-0.128
0.76,-1.909,0.912
-1.62,-1.123,-1.473
-0.108,1.339,0.043
-0.717,2.056,-0.685
5.018,-2.006,4.439
-0.108,-2.188,-2.844
-1.106,-1.347,-0.58
-0.096,0.889,-1.49
-0.418,2.051,-0.231
-0.559,3.068,-0.184
-0.261,0.019,2.491
0.13,-1.384,-0.326
0.27,-1.467,-1.194
-0.823,-0.77,0.09
0.097,0.698,-0.127
3.207,1.161,0.59
0.885,-0.692,1.536
