ax,ay,az
-0.074,-1.334,-2.059
0.772,0.874,0.724
-0.724,3.028,0.381
-1.015,-0.394,0.425
-0.877,-2.114,-0.038
1.205,-1.456,-2.504
-0.391,0.982,-0.01
1.263,1.524,-0.15
0.527,1.612,-0.699
1.247,0.557,1.122
-1.426,-1.914,1.033
0.056,-2.999,-1.512
0.985,-0.364,-2.67
0.424,3.51,1.139
-0.931,3.548,2.82
1.016,-0.428,-3.001
-0.579,-1.84,0.717
-1.234,-1.995,-0.91
0.003,0.737,-0.256
0.164,2.809,1.171
0.353,-0.021,0.832
0.599,-0.618,0.113
-1.088,-3.301,-0.406
-0.223,-0.816,-0.724
0.678,1.69,0.387
-0.452,3.961,1.19
-0.532,0.235,1.841
-1.419,-2.121,-0.518
0.158,-4.081,-2.014
-0.709,0.243,-0.562
-0.093,2.736,0.901
0.239,1.728,0.281
0.928,-1.536,2.734
-0.579,-0.127,-0.714
-0.949,-2.515,-2.221
0.298,-0.455,-1.351
0.304,2.66,0.928
1.918,2.942,0.382
-2.48,-1.513,3.693
-0.779,-1.734,-1.95
-0.275,-0.457,-0.427
-0.726,0.546,-0.49
0.639,2.265,-0.319
0.224,1.958,0.551
2.297,0.09,-0.186
-1.402,-1.87,1.286
-1.117,-2.697,-1.287
-0.008,0.588,-1.031
-0.087,2.93,1.174
-0.273,2.362,0.532
-1.622,-1.017,2.056
-0.101,-2.929,-1.959
0.887,-1.048,-1.677
0.012,1.16,0.164
0.472,3.22,-0.051
0.357,1.877,2.644
1.259,-0.312,-0.927
-0.695,-3.202,-1.792
-0.206,-1.197,-0.421
0.381,1.168,-0.436
-0.886,3.201,0.41
-1.636,0.843,2.01
-0.604,-1.706,-1.107
-0.059,-1.713,-0.751
-0.41,-0.169,-1.701
0.206,2.285,-0.618
0.747,2.585,0.126
0.299,-0.602,3.215
0.22,-1.643,-0.069
-0.599,-1.431,-0.825
0.344,-0.539,-0.909
0.266,1.561,0.086
-0.052,2.913,-0.557
-0.957,-1.533,0.91
-0.747,-2.162,-1.124
0.213,-1.406,-0.613
-0.647,0.818,0.234
0.195,2.335,-1.263
0.569,2.761,-0.151
1.255,-0.93,1.117
1.008,-0.765,0.108
-1.016,-2.033,-0.687
-0.152,-1.544,-1.903
0.756,1.738,-0.32
-0.121,5.469,1.064
-2.744,-1.589,3.031
-0.469,-2.916,-0.952
-1.339,-0.655,-1.222
-0.788,0.86,-1.547
0.572,1.872,-0.507
2.369,1.59,0.388
1.353,-0.401,1.078
-1.224,-1.013,0.08
-0.372,-0.444,-0.635
0.581,0.077,-1.034
-1.828,-0.937,-0.053
-1.186,0.938,1.787
-0.665,-0.78,0.24
-0.349,-2.066,-0.792
0.516,-0.813,-0.6
0.011,0.832,1.816
0.134,1.828,-0.186
1.198,1.843,-0.764
1.007,0.089,0.886
-0.384,-1.552,0.304
0.251,-2.051,-0.879
0.177,0.421,-0.346
-0.046,2.061,-0.14
