ax,ay,az
-0.238,-1.308,-1.017
-0.257,1.013,-0.15
0.366,2.375,0.893
1.295,-0.353,1.963
0.274,-0.293,0.187
-0.9,-2.148,-0.867
0.346,-1.798,-2.911
0.536,1.352,0.326
1.086,3.731,-0.217
-1.838,2.591,4.241
-0.375,-3.343,0.309
0.193,-4.133,-1.967
-0.938,0.067,-0.454
-0.736,3.43,-0.323
1.067,2.655,-0.026
1.331,0.301,3.377
-0.051,-0.636,0.243
-1.308,-2.917,-1.352
0.324,-2.106,-1.325
0.699,1.819,0.859
0.077,3.53,1.211
-3.004,1.047,2.131
-0.587,-2.042,-1.449
0.953,-2.269,-0.927
-0.686,0.062,0.232
0.483,2.798,-0.513
1.031,3.393,0.318
1.893,0.663,1.779
0.113,-1.555,0.905
-0.637,-4.318,-1.538
0.017,-1.292,-2.338
-0.279,2.065,0.216
1.878,4.637,1.784
-2.019,1.608,0.779
-0.987,-5.535,-1.091
0.579,-3.591,-2.759
0.226,2.26,0.499
0.602,4.369,2.394
1.078,2.483,0.615
2.078,-1.793,-1.634
-1.591,-3.25,0.395
-0.386,-2.489,-1.946
0.521,1.036,-0.657
0.263,3.155,0.07
-2.13,2.316,3.934
-1.385,-2.275,-1.016
0.224,-4.575,-2.706
0.057,0.597,-0.83
0.663,1.99,1.918
0.205,4.182,0.53
0.785,-0.171,0.777
-1.081,-0.43,1.422
-1.164,-4.065,-1.633
0.556,-2.7,-1.573
-0.437,2.651,0.263
-0.272,4.396,1.617
-0.846,0.236,0.969
-0.829,-2.446,-0.079
0.698,-2.761,-2.492
-0.042,0.158,-1.298
1.224,4.631,1.362
-0.229,3.13,1.174
2.117,-1.516,-0.843
-1.175,-0.729,1.882
-1.346,-2.426,-2.189
0.302,-1.504,-1.998
0.774,2.681,0.677
-0.376,4.776,1.842
0.128,-1.721,-0.466
0.033,-3.22,-1.417
-1.261,0.838,-0.733
-0.466,0.391,-0.317
0.679,2.384,0.596
-0.218,2.53,1.49
2.078,0.334,-0.558
-1.106,-2.1,-0.416
-1.12,-2.41,-1.027
1.344,0.46,-0.882
-0.549,2.557,1.353
-1.026,0.7,1.017
-1.477,-0.451,1.806
-0.406,-2.8,-2.086
0.21,-0.941,-1.834
0.079,1.489,1.035
1.078,3.542,-0.35
-1.031,0.291,3.321
1.37,1.08,-2.353
-1.567,-3.272,-2.402
-0.302,-1.514,-0.122
0.8,0.828,0.465
-0.433,3.053,0.759
-1.305,-1.13,2.147
0.398,-1.129,-2.59
1.653,-1.539,-1.631
0.125,0.826,0.586
-0.293,2.944,0.966
-0.185,1.951,0.457
1.51,-0.462,0.7
-0.926,-2.695,-0.276
0.086,-2.254,-1.784
1.72,1.339,0.448
0.957,4.01,1.565
-1.59,1.1,0.214
-1.504,-1.243,1.219
0.263,-2.55,-2.271
-0.787,-0.292,-1.307
0.273,2.025,0.315
0.946,1.962,0.362
1.238,-0.774,1.452
0.096,-0.196,0.135
-1.02,-1.827,-1.665
