ax,ay,az
-0.134,-1.757,-1.546
-1.245,-0.042,-1.363
-0.059,1.063,0.387
-1.525,2.355,0.795
2.769,0.191,2.2
-2.353,-0.051,0.68
0.648,-1.524,0.354
-0.482,-1.557,-2.232
0.239,0.717,-0.412
1.163,2.927,-0.206
0.602,-0.972,2.532
1.041,-1.42,-0.27
-1.045,-1.491,-1.768
-0.72,0.067,-1.485
-0.64,2.745,0.964
0.458,3.932,0.859
-2.891,0.337,-2.192
0.318,-1.085,2.985
0.488,-1.439,-1.401
0.553,-0.646,-1.757
0.586,1.162,0.609
2.171,1.273,1.282
-0.439,-0.848,-0.29
0.891,-1.611,-1.146
-0.698,-0.71,-1.429
-0.875,0.547,-0.258
-1.584,3.586,-0.923
0.678,0.113,3.773
-1.43,-0.057,1.497
2.136,-1.916,1.799
-0.629,-1.624,-2.914
-0.094,0.894,-1.024
-1.693,4.519,-1
3.056,-1.513,4.788
0.563,-1.914,-3.753
-0.5,-1.944,-1.294
-0.446,0.074,-1.558
-1.007,2.118,-0.636
-0.041,4.468,1.268
-2.192,-0.299,-0.255
-0.145,-0.938,1.453
-0.299,-2.094,-1.113
-0.089,-0.304,-0.963
0.875,2.003,0.358
1.988,1.334,-0.015
0.691,-0.857,2.117
0.563,-1.528,-1.634
-0.933,-0.895,-1.386
-0.033,0.075,-1.276
-0.424,1.473,0.189
1.586,1.995,2.278
0.121,-0.071,2.198
-0.855,-2.163,-0.373
-0.937,-0.96,-1.369
-0.017,0.496,-0.482
0.308,1.838,0.621
3.041,0.3,0.617
-0.126,-0.603,0.593
1.135,-1.799,-0.258
-1.454,-1.253,-2.2
-0.995,0.421,-1.732
-0.414,3.411,1.037
1.987,0.115,5.729
-1.33,-0.781,-1.217
0.831,-1.829,0.065
-0.278,-1.383,-1.448
-0.24,0.848,-1.294
0.617,1.828,1.003
0.94,1.112,-0.064
-0.762,-0.153,-1.332
-0.962,-2.352,-0.592
-2.431,-0.429,-1.771
-0.603,2.136,1.138
-2.478,6.039,1.237
0.918,0.451,2.575
1.12,-1.472,0.399
-0.286,-2.263,-2.326
-1.022,-0.104,-0.827
0.677,1.33,1.147
2.066,0.956,0.659
-1.602,0.131,-0.725
-0.129,-2.091,-1.626
-1.283,-0.952,-2.003
-0.13,1.318,0.328
-1.999,3.777,-0.616
0.847,-0.099,2.618
-0.474,-0.884,1.306
0.388,-1.497,0.115
-0.305,-1.446,-1.761
-1.133,0.282,-0.46
0.183,2.199,-0.283
2.762,-0.02,0.821
0.17,-2.031,-0.011
-1.059,-1.475,-2.052
-0.369,-0.46,-1.734
-0.269,4.415,2.758
2.272,1.17,1.865
-2.811,1.419,0.005
0.845,-1.685,1.541
-1.328,-1.978,-1.935
