ax,ay,az
1.348,0.829,0.998
-1.074,-1.391,0.463
-0.683,-2.879,-0.396
0.549,-1.098,-0.586
-0.076,0.986,0.002
0.101,3.282,-0.312
-2.049,1.424,2.197
-0.505,-1.594,-0.013
1.002,-2.242,-0.947
-1.095,0.303,-0.068
-0.142,2.155,-0.202
1.008,2.367,-0.752
1.559,-0.274,1
-1.137,-1.382,0.393
-0.724,-2.095,-0.417
-0.033,-0.585,-0.501
0.28,0.878,0.359
-0.374,3.05,0.451
-1.496,1.893,3.11
-0.665,-2.125,-0.71
-0.205,-1.819,-1.588
-0.49,0.311,-0.266
-0.087,2.428,0.374
0.984,2.216,-1.022
1.904,-0.68,1.372
-0.265,-1.394,0.059
-0.935,-2.046,-0.478
-0.127,-0.486,-0.431
0.177,1.176,-0.173
-0.024,2.742,-0.243
-2.549,1.37,2.231
0.049,-2.66,-1.025
-0.1,-1.653,-0.781
-0.512,0.257,-1.445
0.688,2.256,0.353
1.305,2.096,0.558
0.226,-0.523,0.97
-0.919,-1.404,0.303
0.349,-2.561,-1.626
0.731,-0.586,-1.193
0.252,0.997,0.148
-0.03,1.699,0.575
-2.052,1.885,1.87
-0.574,-1.926,-0.104
0.62,-2.159,-1.708
-0.582,0.016,-0.597
-0.091,2.205,0.76
1.011,2.662,-0.566
1.264,-0.271,0.878
1.141,-0.768,0.837
-0.905,-2.079,-1.036
0.148,-0.643,-1.314
0.064,1.099,-0.211
0.878,2.609,-0.347
-1.306,1.367,1.234
-0.63,-1.047,0.096
0.737,-2.136,-1.556
-0.248,-1.074,-1.02
-0.858,1.496,0.396
0.273,2.714,0.565
1.214,-0.295,1.332
0.265,-0.644,0.131
-0.767,-2.412,-0.336
0.108,-1.192,-2.124
0.755,0.925,-0.437
0.186,2.754,-0.078
-2.064,1.335,1.017
-0.155,-2.496,-0.011
0.622,-1.833,-1.349
-0.437,0.138,-0.5
-0.216,2.261,-0.381
0.888,2.02,-0.129
1.281,-0.511,1.031
-0.306,-0.446,0.93
-0.644,-2.022,-1.26
0.459,-1.082,-1.522
-0.39,1.199,0.476
0.546,2.579,-1.336
-1.863,1.255,2.9
-0.512,-2.046,-0.381
-0.161,-1.55,-1.476
-0.427,-0.112,-0.615
-0.248,2.139,0.135
1.202,2.137,-1.384
1.688,-0.458,0.936
-0.073,-1.466,0.493
-0.329,-2.087,-0.609
0.362,-0.546,-1.575
0.554,1.336,0.278
-0.251,2.546,-0.398
-1.382,0.257,1.536
-0.494,-2.229,-0.993
0.207,-1.304,-0.884
-1.681,1.446,0.236
-0.088,2.217,0.05
1.19,1.085,0.736
2.162,-0.948,1.555
-1.281,-1.291,1.266
-0.485,-2.368,-0.868
0.085,0.647,-0.164
-0.254,2.219,-1.203
-0.272,1.578,0.224
-2.162,0.115,0.55
-0.834,-1.759,-1.009
0.802,-1.779,-1.194
0.132,0.054,0.394
-0.181,2.192,0.303
0.396,2.431,1.441
2.251,0.62,-0.545
-0.952,-2.014,0.317
0.792,-2.051,-1.893
0.304,1.326,0.165
1.156,2.806,-0.23
-1.148,2.001,2.798
-0.542,-1.083,-0.171
0.141,-2.168,-2.248
-0.454,-0.905,-1.845
