ax,ay,az
-0.61,-0.392,-0.217
-0.364,2.221,0.916
-0.299,2.08,0.388
1.937,0.237,-0.595
-1.283,-1.607,1.714
0.199,-2.165,-1.645
-0.084,0.275,-0.446
-0.291,2.162,1.163
-0.847,1.7,0.146
-0.683,-0.052,0.409
0.057,-1.961,-0.252
0.134,-1.455,-0.746
-0.619,0.255,0.225
-0.357,2.513,0.682
-0.006,1.843,1.769
1.642,-0.149,-1.036
-0.629,-1.344,-0.046
0.446,-2.04,-1.383
0.292,0.327,-0.117
-0.301,1.884,0.763
-0.513,2.07,0.022
-1.115,-0.247,-0.317
-0.038,-2.03,-1.098
0.573,-1.015,-0.819
-0.471,0.439,0.976
-0.258,1.495,0.341
0.86,1.598,0.263
1.223,-0.547,-0.361
-0.091,-0.796,0.449
0.012,-1.561,-1.396
0.664,-0.902,-0.96
0.36,1.005,0.136
0.035,1.72,0.11
-1.425,0.356,1.045
-0.752,-0.747,0.592
0.424,-1.222,-0.732
0.195,0.199,0.045
0.125,1.722,-0.268
0.334,1.879,-0.919
0.776,-0.722,1.327
0.043,-0.58,0.426
-0.69,-2.244,-0.971
0.231,-0.969,-1.267
0.2,1.228,0.02
0.12,1.517,-0.988
-1.73,0.464,1.745
-0.967,-1.876,-0.277
0.08,-2.004,-1.636
-0.306,1.092,0.271
-0.038,2.537,0.86
-0.243,1.864,2.339
0.708,-0.267,-0.236
-0.578,-2.425,-0.359
0.657,-2.04,-1.68
0.309,0.226,-0.03
-0.24,2.325,0.785
-1.079,2.424,1.627
-1.598,-1.152,-0.4
-0.675,-2.666,-1.351
0.617,-1.192,-1.702
-0.043,1.503,0.478
0.892,2.464,-0.033
-1.102,1.037,4.047
0.727,-0.598,-0.407
-0.314,-2.778,-0.787
0.563,-0.931,-2.51
-0.132,1.261,1.181
0.741,2.948,2.093
-0.915,0.981,0.451
-1.357,-2.215,-0.814
-0.426,-2.963,-1.13
-1.064,0.07,-0.148
0.579,2.342,0.338
-0.27,2.229,2.224
1.334,0.196,-0.169
-0.59,-2.548,0.028
0.465,-2.007,-1.852
0.608,0.131,-0.366
0.425,1.866,1.223
-2.04,3.3,1.995
-1.625,-1.251,0.247
0.605,-2.666,-2.887
0.064,-0.181,-0.075
0.311,1.257,1.341
0.965,2.715,-0.711
1.951,0.291,-0.091
-1.124,-1.434,2.37
-0.846,-2.529,-2.193
0.791,-0.237,-1.819
0.476,2.167,2.043
0.07,2.938,1.007
-1.978,0.034,1.187
-0.362,-2.845,-1.505
-0.051,-1.097,-1.673
-0.457,0.283,0.544
0.838,1.281,-0.608
-0.294,2.275,1.18
1.197,-0.048,0.339
-1,-1.812,0.277
-0.686,-2.045,-0.614
0.313,-0.157,-1.113
0.76,1.974,-0.027
-0.824,2.15,0.536
-1.108,-0.028,0.694
0.189,-2.421,-0.518
0.71,-1.324,-1.599
-0.316,0.779,0.314
0.494,1.287,0.456
0.927,2.001,-0.596
1.39,0.317,-0.033
-1.062,-1.204,-0.191
0.329,-1.466,-0.791
0.831,-0.926,-0.355
0.688,0.633,0.213
0.235,2.608,-0.36
-0.598,0.321,0.076
