ax,ay,az
-0.446,-1.574,-0.243
-0.88,-1.039,-0.936
-0.347,0.164,-0.804
0.888,1.48,0.402
0.261,1.462,3.552
0.077,0.631,-0.219
-1.419,-2.103,-0.006
-0.523,-1.139,-1.158
1.002,0.238,-0.003
0.352,3.099,-0.056
-0.896,0.548,2.517
-1.812,-1.416,0.012
0.453,-2.727,-2.067
-0.148,0.588,0.379
0.638,2.411,0.484
1.68,1.041,-0.564
1.651,0.578,-0.378
0.048,-1.392,1.919
-0.283,-2.603,-0.84
0.379,-0.388,-0.641
0.297,1.434,0.076
-0.401,2.566,0.065
-0.855,-0.266,-0.027
-0.945,-2.41,-0.825
-0.098,-1.575,-1.553
0.374,1.27,0.837
1.002,3.104,0.299
0.332,1.581,2.175
1.628,-0.062,-0.147
-1.7,-1.952,-0.461
-0.493,-2.19,-1.317
0.517,0.451,-0.015
-0.231,3.141,2.116
-2.216,2.104,2.673
-0.675,-2.102,-0.29
-0.905,-2.073,-1.077
-0.378,-1.042,-0.991
-0.016,2.864,0.675
0.143,2.293,-0.871
0.205,0.081,2.15
1.166,-0.864,0.444
-1.223,-1.92,-0.919
-0.603,0.006,-0.072
0.08,0.801,-0.065
-0.318,2.187,-0.214
-2.225,1.436,3.289
-0.781,-1.92,-0.653
0.314,-2.503,-1.46
-0.02,-0.111,0.174
-0.675,1.718,-0.533
0.345,2.182,-0.369
1.805,-0.087,2.167
0.175,-0.665,1.05
-1.624,-1.539,-0.741
0.045,-1.051,-1.367
0.738,0.774,-0.572
0.086,2.338,0.064
-2.108,1.149,2.304
-0.883,-1.502,-0.775
0.409,-2.153,-0.548
-0.671,0.049,-0.223
0.002,2.06,-0.494
0.864,2.533,-0.442
2.171,-0.191,-0.202
-0.226,-1.134,1.391
-1.538,-1.894,-0.425
-0.047,-0.706,-1.009
0.133,1.461,-0.185
-0.237,3.12,0.14
-0.426,0.713,-0.03
0.124,-2.535,-0.801
0.53,-1.651,-0.695
-0.517,0.751,0.54
-0.653,2.376,1.049
-0.516,2.495,-1.009
1.284,1.4,-1.671
-1.914,-1.388,0.559
-0.525,-2.788,-1.695
0.918,-0.04,-0.415
0.869,1.3,0.099
-3.079,2.27,2.676
-2.064,-1.339,-1.029
-0.425,-3.129,-1.758
1.122,0.834,-0.661
2.438,1.435,2.238
1.391,0.923,-1.102
2.308,0.542,1.604
-0.11,1.035,4.401
-1.989,-3.159,-1.352
-0.858,-2.493,-2.609
-0.104,1.804,-1.169
0.261,3.51,1.19
-0.674,1.117,1.747
0.279,-2.886,-0.923
-0.017,-2.242,-1.179
-0.52,0.037,-0.785
-0.163,2.807,0.379
2.071,1.449,-0.342
1.699,1.54,0.584
-1.343,-2.039,0.773
-0.115,-3.927,-2.089
0.153,0.034,-0.037
0.098,4.212,-0.058
-1.388,2.429,3.177
-0.744,-1.631,-1.955
-0.211,-2.764,-2.243
0.766,-0.898,-0.908
-0.142,2.233,0.311
1.57,3.096,-0.672
3.3,0.353,1.53
