ax,ay,az
0.304,1.408,-0.289
0.059,2.259,-0.895
-2.22,0.472,1.317
-0.806,-1.681,-0.877
0.476,-2.1,-1.766
0.748,0.699,-0.539
0.275,2.123,0.899
0.699,2.336,-0.092
1.605,-0.087,0.222
-0.306,-1.89,1.021
-0.239,-2.75,-2.703
0.87,-0.369,-0.628
0.066,2.167,0.909
-0.321,2.484,-0.324
-1.295,-0.842,0.492
-0.791,-1.779,-1.168
0.38,-2.162,-1.41
-0.103,0.423,0.337
-0.184,2.329,0.488
0.327,2.196,0.715
0.639,-0.08,0.16
-0.813,-2.437,-0.395
-0.228,-1.293,-1.525
0.635,-0.108,-0.023
0.567,2.568,0.231
-0.437,1.488,2.226
-1.388,0.418,0.486
-0.186,-2.112,-0.348
0.214,-1.67,-0.644
0.239,1.473,-0.368
0.641,2.837,-0.794
0.408,0.384,2.845
0.551,0.146,0.013
0.009,-2.185,-0.456
0.413,-1.429,-1.333
0.51,0.337,0.502
-0.568,2.813,-0.077
-0.368,0.794,1.759
-0.23,-0.992,0.519
0.61,-2.143,-1.038
0.149,-0.907,-0.853
0.118,1.598,-1.092
0.091,2.817,0.016
0.499,0.955,1.44
-0.412,-0.428,1.247
-0.629,-2.677,-0.262
0.754,-1.698,-2.165
-0.01,1.232,-0.33
-0.406,3.369,0.049
-1.81,2.381,2.712
-0.582,-1.631,0.458
0.392,-2.773,-1.187
-0.249,-1.108,-1.383
-0.432,2.03,0.159
0.478,2.825,-1.212
0.517,0.668,1.277
0.764,-1.534,0.263
-0.581,-2.515,-0.371
0.775,-0.796,-1
0.007,2.275,-0.24
-0.569,3.242,1.061
-0.713,-0.089,0.187
-0.08,-2.268,0.125
0.077,-2.475,-0.854
-0.397,0.312,-0.094
-0.841,3.627,-0.417
0.839,1.153,2.287
1.146,-0.468,-0.03
-0.103,-2.24,-0.508
-0.119,-2.25,-0.939
0.571,-0.453,-0.7
-0.119,1.786,0.345
-1.033,2.519,1.058
-1.182,-0.304,-0.285
0.246,-2.186,-0.108
-0.517,-1.116,-0.416
-0.503,0.695,-0.394
-0.57,2.726,0.336
0.415,0.673,2.181
1.142,0.257,-0.078
-0.313,-1.918,-0.887
0.076,-1.926,-1.12
0.672,-0.157,0.966
0.714,1.429,0.497
-1.315,1.532,3.687
-0.815,-0.89,-0.262
-0.143,-2.12,-0.946
-0.459,-1.437,-1.125
0.259,0.518,0.432
