Number,Timestamp,Latitude,Longitude,Country,Windspeed,Pressure
5,16-Sep-1855 06:00:00,29.6,270.5,N/A,127,NaN
5,16-Sep-1855 12:00:00,30.2,270.6,N/A,115,NaN
5,16-Sep-1855 18:00:00,31,270.9,United States,81,NaN
5,17-Sep-1855 00:00:00,32,271.2,United States,58,NaN
5,17-Sep-1855 06:00:00,33,271.7,United States,46,NaN
1,09-Aug-1856 00:00:00,25,276.1,N/A,81,NaN
1,09-Aug-1856 06:00:00,25.7,274.9,N/A,92,NaN
1,09-Aug-1856 12:00:00,26.3,273.5,N/A,104,NaN
1,09-Aug-1856 18:00:00,27,272.2,N/A,115,NaN
1,10-Aug-1856 00:00:00,27.7,270.9,N/A,127,NaN
1,10-Aug-1856 06:00:00,28.2,270.2,N/A,138,NaN
1,10-Aug-1856 12:00:00,28.7,269.5,N/A,150,NaN
1,10-Aug-1856 18:00:00,29.2,268.9,United States,150,934
1,11-Aug-1856 00:00:00,29.7,268.4,United States,127,NaN
1,11-Aug-1856 06:00:00,30,268.2,United States,92,NaN
1,11-Aug-1856 12:00:00,30.3,268.1,United States,69,NaN
1,11-Aug-1856 18:00:00,30.6,268.2,United States,58,NaN
1,12-Aug-1856 00:00:00,30.9,268.4,United States,46,NaN
1,12-Aug-1856 06:00:00,31.3,269,United States,46,NaN
2,13-Aug-1856 00:00:00,12.1,303.9,N/A,81,NaN
2,13-Aug-1856 06:00:00,12.1,302.7,N/A,81,NaN
2,13-Aug-1856 12:00:00,12.1,301.5,N/A,81,NaN
2,13-Aug-1856 18:00:00,12.1,299.9,N/A,81,NaN
2,14-Aug-1856 00:00:00,12.1,298.2,N/A,81,NaN
2,14-Aug-1856 06:00:00,12.1,296.8,N/A,81,NaN
2,14-Aug-1856 12:00:00,12.1,295.5,N/A,81,NaN
2,14-Aug-1856 18:00:00,12.1,294.4,N/A,81,NaN
3,19-Aug-1856 00:00:00,32.5,284.5,N/A,58,NaN
3,19-Aug-1856 06:00:00,33.8,284,N/A,58,NaN
3,19-Aug-1856 12:00:00,35,283.5,N/A,58,NaN
3,19-Aug-1856 18:00:00,36,283.7,N/A,58,NaN
3,20-Aug-1856 00:00:00,37,284,N/A,58,NaN
3,20-Aug-1856 06:00:00,38,284.7,N/A,58,NaN
3,20-Aug-1856 12:00:00,39,285.7,N/A,58,NaN
3,20-Aug-1856 18:00:00,39.8,287,N/A,58,NaN
3,21-Aug-1856 00:00:00,40.4,288.5,N/A,58,NaN
3,21-Aug-1856 06:00:00,40.8,290.5,N/A,58,NaN
3,21-Aug-1856 12:00:00,41,293,N/A,58,NaN
4,21-Aug-1856 12:00:00,23,277.5,Cuba,58,NaN
5,25-Aug-1856 00:00:00,21,290.2,N/A,81,NaN
5,25-Aug-1856 06:00:00,21,289.2,N/A,81,NaN
5,25-Aug-1856 12:00:00,21.1,288.1,N/A,81,NaN
5,25-Aug-1856 18:00:00,21.2,287.2,N/A,81,NaN
5,26-Aug-1856 00:00:00,21.6,286.1,N/A,81,NaN
5,26-Aug-1856 06:00:00,21.7,285.2,N/A,81,NaN
5,26-Aug-1856 12:00:00,22,284.1,N/A,92,NaN
5,26-Aug-1856 18:00:00,22.2,283.4,N/A,92,NaN
5,27-Aug-1856 00:00:00,22.4,282.4,N/A,92,NaN
5,27-Aug-1856 06:00:00,22.6,281.4,N/A,92,NaN
5,27-Aug-1856 12:00:00,22.7,280.5,N/A,104,NaN
5,27-Aug-1856 18:00:00,22.7,279.4,Cuba,92,NaN
5,28-Aug-1856 00:00:00,22.9,278.4,Cuba,92,NaN
5,28-Aug-1856 06:00:00,23,277.1,Cuba,104,969
5,28-Aug-1856 12:00:00,23.2,276,N/A,104,NaN
5,28-Aug-1856 18:00:00,23.6,275.4,N/A,104,NaN
5,29-Aug-1856 00:00:00,23.9,274.9,N/A,104,NaN
5,29-Aug-1856 06:00:00,24.2,274.4,N/A,104,NaN
5,29-Aug-1856 12:00:00,24.7,273.6,N/A,104,NaN
5,29-Aug-1856 18:00:00,24.9,273.2,N/A,104,NaN
5,30-Aug-1856 00:00:00,25.2,272.9,N/A,115,NaN
5,30-Aug-1856 06:00:00,25.6,272.7,N/A,115,NaN
5,30-Aug-1856 12:00:00,26.2,272.6,N/A,115,NaN
5,30-Aug-1856 18:00:00,27.5,272.7,N/A,115,NaN
5,31-Aug-1856 00:00:00,28.9,273.4,N/A,104,NaN
5,31-Aug-1856 06:00:00,30.2,274.1,N/A,104,NaN
5,31-Aug-1856 12:00:00,31.1,275.2,United States,81,NaN
5,31-Aug-1856 18:00:00,32.2,276.7,United States,69,NaN
5,01-Sep-1856 00:00:00,33,278.4,United States,58,NaN
5,01-Sep-1856 06:00:00,34,280.4,United States,58,NaN
5,01-Sep-1856 12:00:00,34.7,282.1,United States,58,NaN
5,01-Sep-1856 18:00:00,35.5,284.7,N/A,58,NaN
5,02-Sep-1856 00:00:00,36.3,287.2,N/A,58,NaN
5,02-Sep-1856 06:00:00,36.8,290,N/A,58,NaN
5,02-Sep-1856 12:00:00,37.2,292.7,N/A,58,NaN
5,02-Sep-1856 18:00:00,37.7,295.4,N/A,58,NaN
5,03-Sep-1856 00:00:00,38.2,298.2,N/A,58,NaN
5,03-Sep-1856 06:00:00,38.8,301.4,N/A,58,NaN
5,03-Sep-1856 12:00:00,39,304,N/A,58,NaN
5,03-Sep-1856 18:00:00,39.5,307.7,N/A,58,NaN
6,18-Sep-1856 00:00:00,32,311.2,N/A,58,NaN
6,18-Sep-1856 06:00:00,32.5,311.1,N/A,58,NaN
6,18-Sep-1856 12:00:00,32.9,311,N/A,58,NaN
6,18-Sep-1856 18:00:00,33.5,310.7,N/A,58,NaN
6,19-Sep-1856 00:00:00,34.5,310.2,N/A,69,NaN
6,19-Sep-1856 06:00:00,35.2,309.5,N/A,69,NaN
6,19-Sep-1856 12:00:00,35.6,309,N/A,81,NaN
6,19-Sep-1856 18:00:00,35.8,308.6,N/A,81,NaN
6,20-Sep-1856 00:00:00,36,308.3,N/A,81,NaN
6,20-Sep-1856 06:00:00,36.1,308,N/A,81,NaN
6,20-Sep-1856 12:00:00,36.2,307.7,N/A,81,NaN
6,20-Sep-1856 18:00:00,36.3,307.6,N/A,81,NaN
6,21-Sep-1856 00:00:00,36.4,307.5,N/A,69,NaN
6,21-Sep-1856 06:00:00,36.5,307.4,N/A,69,NaN
6,21-Sep-1856 12:00:00,36.5,307.3,N/A,69,NaN
6,21-Sep-1856 18:00:00,36.5,307.2,N/A,69,NaN
6,22-Sep-1856 00:00:00,36.5,307.1,N/A,69,NaN
6,22-Sep-1856 06:00:00,36.5,307,N/A,69,NaN
6,22-Sep-1856 12:00:00,36.5,307,N/A,69,NaN
6,22-Sep-1856 18:00:00,36.5,307,N/A,69,NaN
1,30-Jun-1857 00:00:00,34,285.5,N/A,58,NaN
1,30-Jun-1857 06:00:00,34.5,286.2,N/A,58,NaN
1,30-Jun-1857 12:00:00,35,287.4,N/A,58,NaN
1,30-Jun-1857 18:00:00,35.2,288.6,N/A,58,NaN
1,01-Jul-1857 00:00:00,35.4,289.9,N/A,58,NaN
1,01-Jul-1857 06:00:00,35.5,291.1,N/A,58,NaN
1,01-Jul-1857 12:00:00,35.8,292.4,N/A,58,NaN
1,01-Jul-1857 18:00:00,36,294,N/A,58,NaN
2,06-Sep-1857 18:00:00,26.5,287,N/A,46,NaN
2,07-Sep-1857 00:00:00,26.7,287.2,N/A,46,NaN
2,07-Sep-1857 06:00:00,26.9,287.4,N/A,46,NaN
2,07-Sep-1857 12:00:00,27.2,287.6,N/A,58,NaN
2,07-Sep-1857 18:00:00,27.5,287.7,N/A,58,NaN
2,08-Sep-1857 00:00:00,27.7,287.5,N/A,58,NaN
2,08-Sep-1857 06:00:00,27.9,287.3,N/A,58,NaN
2,08-Sep-1857 12:00:00,28.1,287.1,N/A,69,NaN
2,08-Sep-1857 18:00:00,28.3,287,N/A,69,NaN
2,09-Sep-1857 00:00:00,28.7,286.4,N/A,69,NaN
2,09-Sep-1857 06:00:00,29.1,285.8,N/A,81,NaN
2,09-Sep-1857 12:00:00,29.5,285.3,N/A,81,NaN
2,09-Sep-1857 18:00:00,29.9,284.7,N/A,81,NaN
2,10-Sep-1857 00:00:00,30.2,284.2,N/A,81,NaN
2,10-Sep-1857 06:00:00,30.5,283.8,N/A,81,NaN
2,10-Sep-1857 12:00:00,30.7,283.3,N/A,92,NaN
2,10-Sep-1857 18:00:00,31,282.9,N/A,92,NaN
2,11-Sep-1857 00:00:00,31.2,282.6,N/A,104,NaN
2,11-Sep-1857 06:00:00,31.5,282.3,N/A,104,NaN
2,11-Sep-1857 12:00:00,31.7,282,N/A,104,NaN
2,11-Sep-1857 18:00:00,32.1,281.8,N/A,104,NaN
2,12-Sep-1857 00:00:00,32.3,281.8,N/A,104,NaN
2,12-Sep-1857 06:00:00,32.5,281.7,N/A,104,NaN
2,12-Sep-1857 12:00:00,32.8,281.7,N/A,104,NaN
2,12-Sep-1857 18:00:00,33.3,281.7,N/A,104,961
2,13-Sep-1857 00:00:00,33.9,282,N/A,104,NaN
2,13-Sep-1857 06:00:00,34.5,282.5,United States,92,NaN
2,13-Sep-1857 12:00:00,34.9,282.9,United States,81,NaN
2,13-Sep-1857 18:00:00,35.5,283.5,United States,69,NaN
2,14-Sep-1857 00:00:00,36,283.8,N/A,58,NaN
2,14-Sep-1857 06:00:00,36.3,284.2,United States,58,NaN
2,14-Sep-1857 12:00:00,36.5,285.1,N/A,58,NaN
2,14-Sep-1857 18:00:00,36.8,286.5,N/A,69,NaN
2,15-Sep-1857 00:00:00,37.6,288.2,N/A,69,NaN
2,15-Sep-1857 06:00:00,38.5,290.2,N/A,81,NaN
2,15-Sep-1857 12:00:00,39.4,292.4,N/A,92,NaN
2,15-Sep-1857 18:00:00,40.3,294.8,N/A,92,NaN
2,16-Sep-1857 00:00:00,41.2,298.3,N/A,92,NaN
2,16-Sep-1857 06:00:00,42.1,301.1,N/A,92,NaN
2,16-Sep-1857 12:00:00,43,304,N/A,92,NaN
2,16-Sep-1857 18:00:00,44,307,N/A,92,972
2,17-Sep-1857 00:00:00,45,310,N/A,92,NaN
2,17-Sep-1857 06:00:00,46,314,N/A,81,NaN
2,17-Sep-1857 12:00:00,47,318,N/A,69,NaN
2,17-Sep-1857 18:00:00,48,322,N/A,58,NaN
2,18-Sep-1857 00:00:00,49,326,N/A,46,NaN
2,18-Sep-1857 06:00:00,50,330,N/A,46,NaN
3,22-Sep-1857 00:00:00,32.5,286.5,N/A,81,NaN
3,22-Sep-1857 06:00:00,32.5,286.5,N/A,81,NaN
3,22-Sep-1857 12:00:00,32.5,286.5,N/A,81,NaN
3,22-Sep-1857 18:00:00,32.5,286.5,N/A,81,NaN
3,23-Sep-1857 00:00:00,32.5,286.5,N/A,81,NaN
3,23-Sep-1857 06:00:00,32.5,286.5,N/A,81,NaN
3,23-Sep-1857 12:00:00,32.5,286.5,N/A,81,NaN
3,23-Sep-1857 18:00:00,32.5,286.5,N/A,81,NaN
3,24-Sep-1857 00:00:00,32.5,286.5,N/A,81,NaN
4,24-Sep-1857 00:00:00,16,305.3,N/A,58,NaN
3,24-Sep-1857 06:00:00,32.5,286.5,N/A,81,NaN
4,24-Sep-1857 06:00:00,16,303.8,N/A,58,NaN
3,24-Sep-1857 12:00:00,32.5,286.5,N/A,81,NaN
4,24-Sep-1857 12:00:00,16,302.3,N/A,58,NaN
3,24-Sep-1857 18:00:00,32.5,286.5,N/A,81,NaN
4,24-Sep-1857 18:00:00,16,300.8,N/A,58,NaN
3,25-Sep-1857 00:00:00,32.5,286.5,N/A,81,NaN
4,25-Sep-1857 00:00:00,16,298.9,N/A,69,NaN
3,25-Sep-1857 06:00:00,32.5,286.5,N/A,81,NaN
4,25-Sep-1857 06:00:00,16,297,N/A,69,NaN
3,25-Sep-1857 12:00:00,32.5,286.5,N/A,81,NaN
4,25-Sep-1857 12:00:00,16,295.4,N/A,69,NaN
3,25-Sep-1857 18:00:00,32.5,286.5,N/A,81,NaN
4,25-Sep-1857 18:00:00,16,293.2,N/A,69,NaN
3,26-Sep-1857 00:00:00,32.5,286.5,N/A,81,NaN
4,26-Sep-1857 00:00:00,16,291.5,N/A,81,NaN
3,26-Sep-1857 06:00:00,32.5,286.5,N/A,81,NaN
4,26-Sep-1857 06:00:00,16,289.7,N/A,81,NaN
3,26-Sep-1857 12:00:00,32.5,286.5,N/A,81,NaN
4,26-Sep-1857 12:00:00,16.1,287.9,N/A,81,NaN
3,26-Sep-1857 18:00:00,32.5,286.5,N/A,81,NaN
4,26-Sep-1857 18:00:00,16.2,286.1,N/A,81,NaN
4,27-Sep-1857 00:00:00,16.6,284.2,N/A,92,NaN
4,27-Sep-1857 06:00:00,17,282,N/A,92,NaN
4,27-Sep-1857 12:00:00,17.7,279.9,N/A,92,NaN
4,27-Sep-1857 18:00:00,18.2,278.6,N/A,92,NaN
4,28-Sep-1857 00:00:00,19,277.1,N/A,104,NaN
4,28-Sep-1857 06:00:00,19.7,275.9,N/A,104,NaN
4,28-Sep-1857 12:00:00,20.2,274.7,N/A,104,NaN
4,28-Sep-1857 18:00:00,21,273.5,N/A,104,NaN
4,29-Sep-1857 00:00:00,21.7,272.1,N/A,81,NaN
4,29-Sep-1857 06:00:00,22.2,270.6,N/A,69,NaN
4,29-Sep-1857 12:00:00,23,269,N/A,69,NaN
4,29-Sep-1857 18:00:00,23.7,267.4,N/A,69,NaN
4,30-Sep-1857 00:00:00,24.4,265.9,N/A,58,NaN
4,30-Sep-1857 06:00:00,25.2,264.2,N/A,58,NaN
4,30-Sep-1857 12:00:00,26,262.5,United States,58,NaN
4,30-Sep-1857 18:00:00,27,260.9,United States,46,NaN
1,12-Jun-1858 12:00:00,19,274.5,N/A,81,NaN
2,05-Aug-1858 12:00:00,45,320,N/A,81,NaN
3,14-Sep-1858 00:00:00,25.2,275.4,N/A,69,NaN
3,14-Sep-1858 06:00:00,26,276.1,N/A,69,NaN
3,14-Sep-1858 12:00:00,26.9,276.9,N/A,69,NaN
3,14-Sep-1858 18:00:00,27.9,278,United States,58,NaN
3,15-Sep-1858 00:00:00,28.9,279.2,N/A,58,NaN
3,15-Sep-1858 06:00:00,30,280.4,N/A,69,NaN
3,15-Sep-1858 12:00:00,31.2,281.5,N/A,92,NaN
3,15-Sep-1858 18:00:00,32.4,282.7,N/A,104,NaN
3,16-Sep-1858 00:00:00,34,284.2,N/A,104,NaN
3,16-Sep-1858 06:00:00,36,285.4,N/A,104,NaN
3,16-Sep-1858 12:00:00,38.5,286.7,N/A,92,NaN
3,16-Sep-1858 18:00:00,41.4,288,United States,81,979
3,17-Sep-1858 00:00:00,45.5,290,United States,58,NaN
4,17-Sep-1858 00:00:00,18.4,318.6,N/A,92,NaN
3,17-Sep-1858 06:00:00,50,293,Canada,46,NaN
4,17-Sep-1858 06:00:00,19.2,317.8,N/A,92,NaN
4,17-Sep-1858 12:00:00,20,317,N/A,92,NaN
4,17-Sep-1858 18:00:00,20.7,316.1,N/A,92,NaN
4,18-Sep-1858 00:00:00,21.7,315,N/A,92,NaN
4,18-Sep-1858 06:00:00,22.7,314,N/A,92,NaN
4,18-Sep-1858 12:00:00,23.5,313,N/A,92,NaN
4,18-Sep-1858 18:00:00,24.2,311.8,N/A,92,NaN
4,19-Sep-1858 00:00:00,25.2,310.6,N/A,92,NaN
4,19-Sep-1858 06:00:00,26.1,309.3,N/A,92,NaN
4,19-Sep-1858 12:00:00,27,308,N/A,92,NaN
4,19-Sep-1858 18:00:00,28,306.5,N/A,92,NaN
4,20-Sep-1858 00:00:00,29.2,304.8,N/A,92,NaN
4,20-Sep-1858 06:00:00,30.6,302.9,N/A,92,NaN
4,20-Sep-1858 12:00:00,32,301,N/A,92,NaN
4,20-Sep-1858 18:00:00,33.3,299.4,N/A,92,NaN
4,21-Sep-1858 00:00:00,34.5,298.1,N/A,92,NaN
4,21-Sep-1858 06:00:00,35.8,297,N/A,92,NaN
4,21-Sep-1858 12:00:00,37,296.4,N/A,92,NaN
4,21-Sep-1858 18:00:00,38,296.2,N/A,92,NaN
4,22-Sep-1858 00:00:00,39,296.4,N/A,92,NaN
4,22-Sep-1858 06:00:00,40,296.8,N/A,92,NaN
4,22-Sep-1858 12:00:00,41,297.6,N/A,92,NaN
5,22-Sep-1858 12:00:00,21.9,286,N/A,58,NaN
4,22-Sep-1858 18:00:00,42,298.7,N/A,92,NaN
5,22-Sep-1858 18:00:00,23.2,286,N/A,58,NaN
4,23-Sep-1858 00:00:00,42.9,300.5,N/A,92,NaN
5,23-Sep-1858 00:00:00,24.6,286,N/A,69,NaN
4,23-Sep-1858 06:00:00,43.5,302.4,N/A,92,NaN
5,23-Sep-1858 06:00:00,26.1,286,N/A,69,NaN
4,23-Sep-1858 12:00:00,44,303.9,N/A,81,NaN
5,23-Sep-1858 12:00:00,27.9,286,N/A,81,NaN
4,23-Sep-1858 18:00:00,44.7,305.9,N/A,81,NaN
5,23-Sep-1858 18:00:00,29.3,285.9,N/A,81,NaN
4,24-Sep-1858 00:00:00,45.2,308.2,N/A,69,NaN
5,24-Sep-1858 00:00:00,30.7,285.9,N/A,81,NaN
4,24-Sep-1858 06:00:00,45.7,310,N/A,69,NaN
5,24-Sep-1858 06:00:00,32.2,286,N/A,81,NaN
4,24-Sep-1858 12:00:00,46,312,N/A,58,NaN
5,24-Sep-1858 12:00:00,33.3,286.2,N/A,92,NaN
4,24-Sep-1858 18:00:00,46.5,314.8,N/A,58,NaN
5,24-Sep-1858 18:00:00,33.9,286.3,N/A,92,NaN
5,25-Sep-1858 00:00:00,34.5,286.4,N/A,92,NaN
5,25-Sep-1858 06:00:00,35.2,286.6,N/A,92,NaN
5,25-Sep-1858 12:00:00,35.9,286.9,N/A,92,NaN
5,25-Sep-1858 18:00:00,36.5,287.4,N/A,92,NaN
6,21-Oct-1858 00:00:00,21.5,286.4,N/A,58,NaN
6,21-Oct-1858 06:00:00,21.7,286.7,N/A,58,NaN
6,21-Oct-1858 12:00:00,22.1,287.1,N/A,69,NaN
6,21-Oct-1858 18:00:00,22.5,287.5,N/A,69,NaN
6,22-Oct-1858 00:00:00,23.1,287.9,N/A,69,NaN
6,22-Oct-1858 06:00:00,23.7,288.4,N/A,69,NaN
6,22-Oct-1858 12:00:00,24.2,288.9,N/A,81,NaN
6,22-Oct-1858 18:00:00,25.2,289.4,N/A,81,NaN
6,23-Oct-1858 00:00:00,26.1,290,N/A,81,NaN
6,23-Oct-1858 06:00:00,27,290.7,N/A,81,NaN
6,23-Oct-1858 12:00:00,28.2,291.5,N/A,92,NaN
6,23-Oct-1858 18:00:00,29.5,292.6,N/A,92,NaN
6,24-Oct-1858 00:00:00,31,293.7,N/A,104,NaN
6,24-Oct-1858 06:00:00,32.5,295,N/A,104,NaN
6,24-Oct-1858 12:00:00,34,296.3,N/A,104,NaN
6,24-Oct-1858 18:00:00,35.5,297.3,N/A,104,NaN
6,25-Oct-1858 00:00:00,37,298.3,N/A,92,NaN
6,25-Oct-1858 06:00:00,38.5,299.3,N/A,92,NaN
6,25-Oct-1858 12:00:00,40,300.3,N/A,81,NaN
6,25-Oct-1858 18:00:00,41.2,301.5,N/A,81,NaN
6,26-Oct-1858 00:00:00,42.2,302.7,N/A,69,NaN
6,26-Oct-1858 06:00:00,43.2,304,N/A,69,NaN
1,01-Jul-1859 12:00:00,21.5,262.5,N/A,104,NaN
2,17-Aug-1859 00:00:00,38.5,293,N/A,104,NaN
2,17-Aug-1859 06:00:00,39.5,294,N/A,104,NaN
2,17-Aug-1859 12:00:00,40.2,295,N/A,104,NaN
2,17-Aug-1859 18:00:00,40.7,296,N/A,104,NaN
2,18-Aug-1859 00:00:00,41,297.1,N/A,104,NaN
2,18-Aug-1859 06:00:00,41.4,298.4,N/A,104,NaN
2,18-Aug-1859 12:00:00,41.7,299.8,N/A,104,NaN
2,18-Aug-1859 18:00:00,41.8,301,N/A,104,NaN
2,19-Aug-1859 00:00:00,41.9,302,N/A,104,NaN
2,19-Aug-1859 06:00:00,42,302.7,N/A,104,NaN
2,19-Aug-1859 12:00:00,42,303.2,N/A,104,NaN
2,19-Aug-1859 18:00:00,42,303.5,N/A,104,NaN
3,02-Sep-1859 00:00:00,17.3,300.3,N/A,81,NaN
3,02-Sep-1859 06:00:00,17.4,299.3,N/A,81,NaN
3,02-Sep-1859 12:00:00,17.5,298.2,N/A,81,NaN
3,02-Sep-1859 18:00:00,17.5,297,"Bonaire, Saint Eustatius and Saba",81,NaN
3,03-Sep-1859 00:00:00,17.4,295.9,N/A,81,NaN
3,03-Sep-1859 06:00:00,17.3,294.6,N/A,81,NaN
4,12-Sep-1859 06:00:00,35.5,302.5,N/A,104,NaN
4,12-Sep-1859 12:00:00,37,305.5,N/A,104,NaN
4,12-Sep-1859 18:00:00,39,308,N/A,104,NaN
4,13-Sep-1859 00:00:00,41.5,310,N/A,92,NaN
4,13-Sep-1859 06:00:00,43,311.5,N/A,92,NaN
4,13-Sep-1859 12:00:00,45.5,313.5,N/A,81,NaN
4,13-Sep-1859 18:00:00,49,316.5,N/A,81,NaN
5,15-Sep-1859 00:00:00,28,271,N/A,81,NaN
5,15-Sep-1859 06:00:00,28.5,271,N/A,81,NaN
5,15-Sep-1859 12:00:00,29,271.1,N/A,81,NaN
5,15-Sep-1859 18:00:00,29.6,271.4,N/A,81,NaN
5,16-Sep-1859 00:00:00,30.3,271.9,N/A,81,NaN
5,16-Sep-1859 06:00:00,31.1,272.5,United States,58,NaN
5,16-Sep-1859 12:00:00,32,273.2,United States,46,NaN
5,16-Sep-1859 18:00:00,33.1,275.2,United States,46,NaN
5,17-Sep-1859 00:00:00,34.3,277.5,United States,46,NaN
5,17-Sep-1859 06:00:00,35.6,280,United States,46,NaN
5,17-Sep-1859 12:00:00,37,282.5,United States,58,NaN
5,17-Sep-1859 18:00:00,38.5,285.5,N/A,69,NaN
5,18-Sep-1859 00:00:00,40,289,N/A,81,NaN
5,18-Sep-1859 06:00:00,41.2,293.5,N/A,81,NaN
5,18-Sep-1859 12:00:00,42,299,N/A,81,NaN
5,18-Sep-1859 18:00:00,42.5,305,N/A,81,NaN
6,02-Oct-1859 00:00:00,17.5,284.6,N/A,92,NaN
6,02-Oct-1859 06:00:00,18.2,284.9,N/A,92,NaN
6,02-Oct-1859 12:00:00,19.1,285,N/A,92,NaN
6,02-Oct-1859 18:00:00,20.1,285.2,Cuba,92,NaN
6,03-Oct-1859 00:00:00,21.2,285.6,N/A,92,NaN
6,03-Oct-1859 06:00:00,22.2,285.9,N/A,92,NaN
6,03-Oct-1859 12:00:00,23.2,286.2,N/A,104,NaN
6,03-Oct-1859 18:00:00,24.5,286.6,N/A,104,NaN
6,04-Oct-1859 00:00:00,26,287.1,N/A,115,NaN
6,04-Oct-1859 06:00:00,27.5,287.6,N/A,115,NaN
6,04-Oct-1859 12:00:00,28.8,288,N/A,127,NaN
6,04-Oct-1859 18:00:00,30.4,288.5,N/A,127,NaN
6,05-Oct-1859 00:00:00,32.4,289.2,N/A,127,NaN
6,05-Oct-1859 06:00:00,34.5,289.9,N/A,127,NaN
6,05-Oct-1859 12:00:00,36.5,290.5,N/A,127,NaN
6,05-Oct-1859 18:00:00,38,291.4,N/A,127,NaN
6,06-Oct-1859 00:00:00,39.5,292.6,N/A,127,NaN
6,06-Oct-1859 06:00:00,40.9,293.9,N/A,127,NaN
6,06-Oct-1859 12:00:00,42.5,296,N/A,127,938
6,06-Oct-1859 18:00:00,44.5,299,N/A,127,NaN
7,16-Oct-1859 00:00:00,25.1,284.9,N/A,69,NaN
7,16-Oct-1859 06:00:00,25.2,284.5,N/A,69,NaN
7,16-Oct-1859 12:00:00,25.2,284,N/A,69,NaN
7,16-Oct-1859 18:00:00,25.5,283.4,N/A,69,NaN
7,17-Oct-1859 00:00:00,25.8,282.4,N/A,69,NaN
7,17-Oct-1859 06:00:00,26,281.5,N/A,69,NaN
7,17-Oct-1859 12:00:00,26.2,280.5,N/A,69,NaN
7,17-Oct-1859 18:00:00,26.5,279.5,United States,58,NaN
7,18-Oct-1859 00:00:00,26.8,278.7,United States,46,NaN
7,18-Oct-1859 06:00:00,27.2,278.2,United States,46,NaN
8,24-Oct-1859 00:00:00,20.2,266.7,N/A,46,NaN
8,24-Oct-1859 06:00:00,20.3,266.7,N/A,46,NaN
8,24-Oct-1859 12:00:00,20.4,266.7,N/A,46,NaN
8,24-Oct-1859 18:00:00,20.6,266.8,N/A,46,NaN
8,25-Oct-1859 00:00:00,20.7,266.8,N/A,46,NaN
8,25-Oct-1859 06:00:00,20.8,266.8,N/A,58,NaN
8,25-Oct-1859 12:00:00,21,266.9,N/A,58,NaN
8,25-Oct-1859 18:00:00,21.2,267,N/A,58,NaN
8,26-Oct-1859 00:00:00,21.4,267.1,N/A,69,NaN
8,26-Oct-1859 06:00:00,21.6,267.2,N/A,69,NaN
8,26-Oct-1859 12:00:00,21.8,267.4,N/A,81,NaN
8,26-Oct-1859 18:00:00,22,267.5,N/A,92,NaN
8,27-Oct-1859 00:00:00,22.3,267.9,N/A,92,NaN
8,27-Oct-1859 06:00:00,22.5,268.3,N/A,92,NaN
8,27-Oct-1859 12:00:00,23.1,269,N/A,92,NaN
8,27-Oct-1859 18:00:00,23.9,270,N/A,92,NaN
8,28-Oct-1859 00:00:00,24.8,271.3,N/A,92,NaN
8,28-Oct-1859 06:00:00,25.7,272.9,N/A,92,NaN
8,28-Oct-1859 12:00:00,26.7,275,N/A,92,NaN
8,28-Oct-1859 18:00:00,27.7,277.2,N/A,92,NaN
8,29-Oct-1859 00:00:00,29.2,280.8,N/A,81,989
8,29-Oct-1859 06:00:00,30.3,284.8,N/A,69,NaN
8,29-Oct-1859 12:00:00,31.7,290.1,N/A,58,NaN
8,29-Oct-1859 18:00:00,32.7,296.5,N/A,46,NaN
1,08-Aug-1860 00:00:00,27.9,275.9,N/A,46,NaN
1,08-Aug-1860 06:00:00,27.8,275.5,N/A,46,NaN
1,08-Aug-1860 12:00:00,27.8,275.2,N/A,58,NaN
1,08-Aug-1860 18:00:00,27.7,274.7,N/A,58,NaN
1,09-Aug-1860 00:00:00,27.6,274.1,N/A,69,NaN
1,09-Aug-1860 06:00:00,27.5,273.7,N/A,69,NaN
1,09-Aug-1860 12:00:00,27.5,273.2,N/A,81,NaN
1,09-Aug-1860 18:00:00,27.4,272.5,N/A,81,NaN
1,10-Aug-1860 00:00:00,27.4,272,N/A,92,NaN
1,10-Aug-1860 06:00:00,27.4,271.5,N/A,92,NaN
1,10-Aug-1860 12:00:00,27.5,271,N/A,104,NaN
1,10-Aug-1860 18:00:00,27.5,270.5,N/A,104,NaN
1,11-Aug-1860 00:00:00,27.6,270.1,N/A,115,NaN
1,11-Aug-1860 06:00:00,27.9,269.9,N/A,115,NaN
1,11-Aug-1860 12:00:00,28.4,269.7,N/A,127,NaN
1,11-Aug-1860 18:00:00,29,269.9,N/A,127,NaN
1,12-Aug-1860 00:00:00,29.7,270.2,United States,115,NaN
1,12-Aug-1860 06:00:00,30.5,271.1,United States,115,NaN
1,12-Aug-1860 12:00:00,31,272,United States,81,NaN
1,12-Aug-1860 18:00:00,31.3,273.2,United States,58,NaN
1,13-Aug-1860 00:00:00,31.4,274.4,United States,46,NaN
1,13-Aug-1860 06:00:00,31.5,275.4,United States,46,NaN
1,13-Aug-1860 12:00:00,31.7,276.4,United States,46,NaN
1,13-Aug-1860 18:00:00,31.8,277.4,United States,46,NaN
1,14-Aug-1860 00:00:00,31.9,278.4,United States,46,NaN
1,14-Aug-1860 06:00:00,32,279.4,N/A,46,NaN
1,14-Aug-1860 12:00:00,32,280.4,N/A,58,NaN
1,14-Aug-1860 18:00:00,32,281.4,N/A,58,NaN
