ax,ay,az
0.003,-0.259,1.085
-0.388,0.754,-0.279
0.375,0.136,-0.094
-0.102,0.132,0.345
-0.029,-0.403,0.567
0.264,-0.239,0.655
0.221,0.226,0.254
0.341,-0.254,-0.236
0.167,-0.174,0.025
0.217,-0.109,-0.579
0.023,-0.095,0.01
0.298,0.519,-0.033
0.116,0.587,0.235
0.085,0.246,0.243
-0.064,0.049,0.129
-0.437,0.043,0.165
0.088,-0.562,0.278
-0.724,-0.106,0.026
-0.419,-0.45,0.551
0.093,0.469,-0.046
-0.471,0.562,0.257
-0.452,0.144,-0.716
0.145,-0.258,-0.261
0.358,-0.117,0.17
0.297,0.17,-0.105
-0.506,0.021,0.057
-0.299,0.525,-0.026
-0.596,0.819,-0.12
-0.043,0.065,0.392
0.144,-0.245,1.354
0.45,0.258,0.741
0.159,0.172,0.014
0.277,-0.232,-0.027
-0.177,0.078,-0.58
-0.329,0.054,-0.586
-0.218,0.508,-0.86
0,0.154,-0.165
-0.425,-0.506,-0.254
0.03,-0.839,-0.051
0.091,0.84,0.614
-0.113,0.187,0.916
-0.368,-0.183,1.075
-0.151,0.28,0.284
-0.258,0.048,-0.554
0.137,-0.041,-0.734
0.174,0.084,-0.424
0.391,0.15,0.12
0.242,0.544,0.595
-0.288,0.779,0.199
-0.443,-0.726,1.73
0.524,-0.017,-0.684
0.594,-0.277,-0.011
0.563,0.118,0.872
0.478,0.211,-0.561
0.214,-0.413,-0.839
0.162,0.099,-0.121
0.015,0.377,0.141
-0.005,0.247,0.51
0.547,0.894,-1.704
-0.949,0.031,-0.2
-1.097,0.169,-0.347
-0.137,-0.268,-0.772
0.2,-0.095,0.279
0.27,0.016,0.494
0.003,0.465,-0.183
-0.308,-0.177,0.561
0.037,0.196,0.201
0.267,0.355,0
0.026,0.254,-0.23
-0.227,0.33,-0.766
-0.034,-0.229,0.254
-0.653,0.487,0.459
0.383,0.358,0
-0.495,0.436,0.084
0.291,0.154,-0.58
0.294,-0.174,0.987
0.231,-0.332,-0.043
0.395,-0.353,-0.074
0.222,0.109,-0.279
-0.168,0.4,-0.46
-0.39,0.418,-0.534
-0.132,0.275,-0.359
-0.217,0.466,-0.016
0.049,0.308,-0.301
-0.09,0.19,-0.565
0.21,0.268,0.031
-0.428,-0.419,0.554
-0.219,-0.065,0.884
-0.427,0.778,0.376
0.061,-0.059,0.295
-0.202,0.143,0.029
-0.133,0.523,-0.705
0.449,0.316,-0.979
0.171,0.031,-0.115
-0.085,0.167,0.018
0.023,0.314,-0.147
-0.21,0.265,-0.077
-0.333,-0.05,0.562
1.664,0.003,-1.254
-0.3,0.045,0.955
-0.237,0.263,0.741
0.561,-0.202,-0.2
0.128,-0.273,0.011
0.238,-0.087,-0.142
-0.038,-0.142,-0.456
-0.147,0.473,0.372
