ax,ay,az
0.51,0.076,0.207
0.703,0.178,-0.128
-0.105,0.152,0.125
-0.244,0.056,0.003
-0.085,-0.149,-0.533
0.46,-0.02,-0.293
0.165,0.462,-0.098
0.222,0.149,-0.017
0.13,-0.356,0.176
0.107,-0.605,0.638
0.907,0.452,-0.901
-0.958,0.359,0.43
-0.576,-0.485,0.528
-0.634,0.779,-0.357
0.024,-0.147,0.742
-0.324,0.437,-0.477
-0.285,0.034,-0.179
-0.275,-0.108,0.005
0.033,-0.309,0.02
0.073,-0.594,0.119
0.115,0.592,-0.413
-0.652,0.288,0.271
-0.292,0.002,-0.475
-0.019,0.105,0.239
0.141,0.392,0.237
0.284,1.251,-0.797
0.131,0.387,-0.384
0.237,-0.424,0.595
0.76,-1.238,0.757
0.012,0.583,0.394
0.205,0.25,0.252
0.229,0.054,0.56
-0.073,0.332,-0.039
0.821,-0.324,-0.124
-0.115,0.155,0.393
-0.392,-0.204,-0.457
-0.472,0.646,0.301
0.112,0.153,-0.054
0.031,0.188,-0.311
0.55,-0.294,-0.131
0.703,0.024,-0.106
0.333,0.098,0.527
0.684,1.66,-1.348
-1.653,0.588,-0.066
-0.657,-0.71,2.229
0.685,0.38,-0.449
0.7,0.466,-0.237
-0.436,0.371,0.396
-0.122,-0.02,-0.032
-0.455,-0.323,0.236
-0.608,0.871,0.204
-0.172,0.644,-0.224
0.691,0.261,-0.204
1.288,0.26,0.159
-0.092,0.011,0.507
-0.026,-0.109,-0.155
-0.07,-0.237,-0.099
-0.072,0.447,-0.202
-0.618,0.194,0.726
-0.906,0.149,0.85
-0.022,-0.33,0.129
-0.592,0.285,0.117
-0.202,0.043,-0.416
0.192,0.133,-0.222
0.409,-0.089,-0.214
0.27,0.141,-0.153
0.173,0.092,-0.11
0.058,0.28,-0.175
-0.169,0.171,-0.096
-0.682,0.457,0.127
-0.242,0.246,0.492
-0.563,0.291,0.051
0.343,-0.276,0.574
0.329,0.02,0.159
0.887,-0.084,-0.106
-0.007,-0.297,0.176
0.525,-0.258,0.008
0.188,0.405,0.241
0.29,0.117,-0.019
0.441,0.312,-0.238
0.047,0.314,0.157
0.516,-0.153,-0.483
-0.065,0.471,-0.836
-0.198,-0.047,-0.026
-0.679,0.397,0.306
-0.403,0.113,0.45
0.235,-0.126,0.512
0.089,-0.117,0.289
0.174,-0.252,0.149
-0.163,0.288,-0.264
0.042,0.395,-0.588
-0.137,0.184,-0.264
-0.095,0.184,0.375
0.034,0.602,-0.185
0.182,-0.113,0.325
0.138,-0.22,0.257
0.362,-0.264,0.508
-0.104,0.568,-0.395
0.464,-0.203,0.342
0.35,0.411,-0.204
0.166,0.184,-0.105
0.185,0.652,0.459
0.08,-0.049,0.178
0.088,-0.5,-0.928
0.312,-0.663,-0.927
0.343,-0.164,-0.264
