ax,ay,az
0.521,0.092,-0.794
0.617,0.72,0.424
0.23,0.393,2.012
0.091,0.258,-0.842
-0.404,-0.449,-0.741
0.258,0.293,1.082
0.283,-0.06,0.618
-0.595,-0.043,-0.363
0.072,-0.207,0.604
-0.773,0,-0.175
-1.085,0.179,0.269
-0.63,0.338,-0.173
0.178,0.369,0.765
-0.011,0.323,-0.151
-0.176,-0.254,0.247
0.649,-0.214,-0.527
-0.499,-0.094,0.516
-0.171,0.17,-0.818
0.022,0.321,-0.572
0.153,0.371,-0.922
0.446,0.052,0.8
0.551,-0.39,0.62
-0.067,-0.147,-0.127
0.612,0.113,0.375
0.313,0.13,1.021
-0.055,-0.198,0.229
-0.299,0.136,-0.287
0.097,0.024,-0.306
-0.008,-0.141,-0.074
-0.143,-0.095,-0.669
0.313,0.129,0.61
0.352,0.638,-0.165
-0.01,0.455,-0.379
-0.109,0.132,0.456
-0.677,0.246,0.169
0.065,-0.226,0.962
0.582,-0.157,1.105
0.032,0.233,0.209
-0.196,-0.118,-0.081
-0.555,-0.046,0.136
-0.453,0.481,-0.49
-0.293,0.243,0.078
0.337,0.178,-0.474
0.189,0.191,-0.729
0.23,-0.378,0.266
-0.253,-0.134,-0.616
-0.128,0.261,0.494
-0.169,0.751,-0.312
-0.12,0.264,-0.279
-0.165,0.449,-0.195
0.879,0.035,0.328
0.536,-0.398,-0.081
0.475,-0.686,0.39
0.577,-0.069,0.376
0.037,0.468,0.077
0.127,0.244,0.114
0.135,0.136,-0.638
-0.018,-0.125,-0.386
-0.042,-0.35,0.938
0.228,0.349,-0.414
-0.049,0.567,-0.87
0.016,0.19,0.274
0.713,0.332,0.29
0.447,0.112,-0.676
-0.181,0.025,-0.01
0.003,0.162,-0.1
0.047,0.15,0.258
-0.563,0.932,0.16
-0.447,-0.063,0.783
-0.127,-0.453,-0.047
-0.132,-0.25,-0.879
0.082,0.338,0.304
-0.071,0.143,-0.082
-0.231,0.19,-0.114
0.05,-0.069,0.229
-0.091,0.232,-0.048
-0.038,0.384,-0.196
-0.301,0.32,-0.051
-0.392,-0.435,0.063
-0.489,-0.068,-0.618
0.524,0.107,0.975
-0.001,0.451,0.685
0.343,0.226,-0.025
0.64,-0.284,0.539
0.302,-0.377,0.766
0.471,0.171,-0.178
0.115,-0.217,-0.009
-0.344,0.013,1.524
0.336,-0.015,-0.107
0.933,-0.362,0.175
0.277,0.116,-0.334
-0.054,-0.108,0.202
0.55,-0.186,-0.161
0.232,0.826,0.086
-0.612,0.333,0.399
-0.286,0.032,-0.413
-0.161,0.003,-0.404
0.345,0.438,0.278
0.407,0.092,0.205
0.279,-0.062,-0.385
0.065,-0.305,-0.395
0.266,0.183,-0.497
-0.197,0.352,-0.109
-0.502,0.444,-0.249
-0.442,0.244,0.221
-0.565,-0.078,0.265
-0.981,1.684,-1.278
