ax,ay,az
0.557,-0.406,-0.42
-0.022,0.308,0.379
-0.024,0.114,0.446
-0.504,0.323,0.494
-0.338,0.382,-0.394
-0.204,0.242,0.23
-0.143,0.605,-0.01
-0.056,0.21,0.013
0.066,-0.803,0.194
0.089,-0.264,1.094
-0.889,0.916,0.879
0.373,-0.358,-0.627
0.829,-1,-0.853
-0.28,0.316,0.6
-0.611,0.594,0.462
0.309,-0.264,-0.224
-0.148,-0.341,0.391
-0.223,0.719,0.036
-0.464,0.228,-0.17
-0.289,0.282,0.232
0.043,0.818,0.274
0.108,0.137,0.388
0.261,0.06,-0.327
0.434,-0.046,-0.58
-0.756,0.257,0.782
0.318,0.108,0.834
0.221,0.367,-0.14
0.122,-0.063,-0.348
0.265,0.116,-0.404
0.413,0.595,-0.211
0.013,0.236,-0.431
0.15,-0.85,0.05
-0.13,0.147,-0.701
-0.161,0.081,0.042
-0.192,0.09,0.074
0.961,0.947,-1.849
-1.494,1.004,0.438
0.157,-0.943,0.313
0.548,-0.66,1.102
0.007,0.229,-0.189
-0.27,0.374,-0.845
-0.877,0.1,-0.14
0.484,0.236,-0.019
-0.094,0.944,1.293
0.096,-0.11,-0.559
-0.549,-0.312,0.493
0.066,-0.479,1.148
0.362,0.11,0.725
-0.108,0.34,0.666
0.212,0.199,-0.28
-0.201,0.27,-0.366
0.2,0.099,-0.227
0.421,-0.995,0.403
0.079,-0.153,0.075
0.519,0.237,-0.436
-0.025,0.196,-0.116
-0.413,0.478,0.723
-0.105,0.062,0.399
0.096,0.344,0.001
-0.024,0.15,0.133
0.305,-0.251,-0.225
0.108,0.01,0.042
-0.324,0.364,0.289
-0.116,0.574,-0.192
0.105,0.306,0.182
-0.172,-0.051,0.62
0.257,-0.214,-0.374
-0.487,-0.169,-0.162
-0.725,-0.178,-0.099
-0.26,0.112,0.604
-0.528,0.002,-0.063
-0.579,-0.189,-0.159
-0.095,0.358,-0.395
-0.081,0.509,0.217
0.039,0.526,0.459
-0.289,0.566,0.819
0.281,1.133,-0.712
0.487,-0.218,-0.241
-0.118,-0.613,0.348
0.749,-0.346,0.303
0.253,0.033,0.387
0.064,-0.083,0.459
-0.233,0.283,1.359
-0.275,0.249,0.236
-1.087,0.029,1.087
0.644,0.127,-1.736
0.572,0.459,-1.157
0.212,-0.163,-0.142
0.038,0.333,0.079
0.774,1.592,-2.611
-0.578,0.772,0.29
-1.182,-1.695,1.194
-0.067,-1.896,1.035
0.378,0.54,-0.113
-0.029,0.653,0.619
0.318,0.111,-0.069
-0.409,-0.255,0.355
0.134,0.5,-0.602
0.045,-0.055,0.392
0.22,-0.016,-0.014
-0.344,0.015,0.359
-0.683,0.133,0.873
-0.004,1.413,-1.066
0.4,0.561,0.394
-0.612,0.663,0.684
1.093,-0.263,-0.409
0.825,0.067,-0.424
0.333,-0.116,0
-0.313,0.063,0.708
-0.132,0.256,-0.396
0.542,0.234,-0.355
0.281,-0.493,0.054
