ax,ay,az
-0.612,0.276,0.138
-0.688,-0.331,-0.273
-0.685,-0.321,-0.374
0.088,0.161,-0.43
0.566,0.119,-0.465
-0.111,-0.049,0.024
0.214,0.433,0.363
0.379,0.043,0.519
-0.061,-0.351,0.085
-0.088,-0.194,0.633
-0.25,0.84,-0.711
0.115,0.266,-0.818
-0.458,-0.281,2.009
0.143,-0.558,2.136
0.252,0.293,-0.097
0.009,0.42,-0.329
-0.438,0.152,0.111
0.033,0.184,-0.267
0.076,0.095,0.676
-0.804,-0.326,0.367
-0.233,0.079,-0.039
0.404,0.144,0.989
-0.424,0.348,0.366
-0.627,0.295,0.021
-0.309,-0.142,0.171
-0.821,0.084,-0.574
-0.264,0.195,0.406
-0.007,0.147,-0.169
0.379,0.266,-0.166
0.007,0.028,0.823
0.322,0.274,0.127
0.476,-0.021,-0.15
0.038,-0.035,0.853
0.371,0.202,0.506
-0.371,-0.124,0.682
0.338,-0.326,0.175
-0.202,-0.358,-0.045
-0.051,-0.502,-0.472
0.022,-0.387,-0.405
-0.096,0.139,-0.565
-0.141,0.422,-0.147
0.306,0.353,0.358
0.209,0.271,-0.398
0.542,0.149,-0.637
0.215,0.267,-0.45
0.235,0.111,0.154
-0.093,0.258,0.926
0.107,0.14,-0.038
0.268,0.293,0.67
0.082,0.123,0.428
-0.474,0.336,0.529
-0.557,-0.385,1.083
-0.225,-0.287,-0.056
-0.163,-0.022,-0.326
-0.068,0.526,0.013
-0.052,0.581,-0.048
-0.294,0.407,-0.812
-0.095,-0.117,-0.697
-0.2,-0.128,-0.213
0.205,-0.1,0.512
0.337,-0.152,0.244
0.319,0.131,0.022
-0.01,0.563,-0.417
0,0.635,-0.663
-0.04,-0.785,-0.587
0.444,0.569,-0.714
-0.888,0.505,-0.448
-0.162,-1.059,1.719
-0.382,-0.142,0.808
-0.104,0.056,0.788
0.299,0.561,-0.075
-0.052,0.196,1.134
0.989,0.038,0.101
0.601,-0.23,-0.579
0.091,0.018,-0.864
0.073,0.137,-0.178
0.065,0.214,0.113
-0.029,0.151,-0.051
0.082,-0.281,0.48
-0.05,0.198,0.458
0.119,0.811,-0.981
0.088,-0.219,1.711
0.015,-0.266,0.801
-0.385,-0.04,-0.151
0.214,-0.005,-0.092
-0.044,0.351,0
0.092,0.219,0.036
-0.188,0.212,-0.502
0.031,0.105,-0.367
0.118,0.027,0.303
-0.012,0.164,-0.171
-0.121,0.4,-0.197
-0.531,0.283,-0.366
-0.4,0.057,0.096
0.005,0.041,0.023
0.035,0.074,-0.508
-0.071,0.146,-0.158
-0.052,0.169,0.063
0.302,0.621,0.034
0.702,-0.046,0.381
-0.327,-0.253,-0.009
0.435,-0.152,0.84
-0.011,0.404,0.123
0.175,0.47,0.049
0.002,0.302,0.261
0.112,0.07,-0.311
-0.358,-0.229,-0.477
-0.704,-0.206,-1.042
0.002,0.16,1.417
0.722,0.361,0.841
0.279,-0.061,0.316
-0.153,-0.046,1.053
-0.966,0.519,-0.759
