ax,ay,az
-0.288,-0.02,0.212
0.004,-0.008,0.554
-0.114,0.04,-0.194
-0.304,0.018,-0.102
-0.401,0.442,-0.771
-0.472,0.271,-0.451
0.234,-0.244,0.356
0.409,-0.255,0.567
-0.792,0.57,-0.524
-0.487,0.547,1.403
1.113,-0.294,0.887
0.111,0.358,0.791
0.422,-0.264,0.499
-0.315,-0.32,0.002
-0.342,-0.107,-0.171
0.34,-0.108,0.077
0.234,0.162,-0.861
0.043,0.045,0.475
0.066,0.094,0.085
0.09,0.242,-0.078
-0.127,0.198,0.042
-0.07,0.456,0.188
0.011,0.2,0.533
-0.118,0.259,0.424
-0.005,0.453,-0.284
-0.403,-0.088,-0.244
0.59,0.129,0.504
-0.036,-0.182,0.923
-0.349,-0.41,-0.433
-0.353,-0.232,-0.209
-0.282,0.419,-0.241
0.15,0.313,0.015
0.173,-0.039,-0.283
-0.318,-0.414,-0.52
0.306,0.154,-0.345
0.145,0.156,0.094
-0.013,0.24,-0.322
0.113,0.293,-0.224
0.087,0.377,0.692
0.579,0.374,1.171
0.241,0.416,0.459
0.645,-0.144,0.709
0.061,-0.374,-0.718
-0.031,-0.301,0.704
0.046,0.093,-0.231
0.354,0.396,-0.68
0.075,0.422,-0.176
-0.109,0.212,-0.172
-0.179,-0.052,-0.249
-0.105,-0.051,-0.293
0.086,0.127,0.117
0.268,0.272,0.196
-0.186,-0.053,0.016
0.2,-0.103,-0.843
0.11,0.141,0.18
0.468,0.131,0.471
0.351,0.232,0.164
-0.204,0.07,0.069
-0.285,-0.044,0.558
-0.29,-0.204,0.527
-0.438,0.18,0.175
-0.246,0.072,-0.314
0.264,0.136,0.105
0.098,0.22,-0.139
-0.061,0.108,0.187
-0.263,0.054,0.304
0.051,0.216,0.195
-0.083,0.273,0.091
-0.16,0.096,1.002
-0.06,0.184,-0.237
-0.069,-0.092,0.487
0.268,-0.15,0.984
0.754,-0.07,-0.376
0.218,0.019,-0.541
-0.055,-0.082,-0.163
-0.288,-0.127,0.225
0.148,0.282,0.466
0.054,0.229,0.25
0.02,0.21,0.426
0.037,-0.111,0.233
0.026,-0.089,-0.28
0.065,-0.038,-0.163
0.167,0.38,0.56
0.04,0.575,0.494
0.203,0.113,-0.215
0.438,0.016,0.583
-0.462,0.21,-0.644
-0.437,0.085,-1.055
