ax,ay,az
-0.484,0.574,-0.168
-0.149,0.401,-0.258
0.198,0.023,0.393
0.398,-0.023,0.195
-0.002,-0.307,0.263
0.105,-0.138,-0.367
-0.317,0.133,-0.683
-0.892,-0.133,-0.002
-0.557,0.22,0.615
-0.414,-0.04,0.384
0.394,0.217,-0.252
0.079,0.158,0.308
-0.186,0.215,0.631
-0.329,0.499,-0.297
-0.222,0.244,0.19
0.255,0.049,-0.423
0.311,-0.178,-0.488
0.176,0.342,-0.46
0.523,-0.347,0.891
-0.065,-0.068,0.318
0.171,0.081,0.354
0.04,0.193,-0.16
0.105,-0.137,0.047
0.355,0.095,-0.634
-0.046,-0.095,-0.075
-0.273,0.17,-0.323
-0.054,0.253,0.225
0.199,0.358,0.045
0.169,0.282,-0.118
0.151,0.29,-0.07
-0.011,0.219,0.337
-0.283,-0.054,0.463
0.04,0.03,0.321
-0.349,0.376,-0.926
0.14,0.199,-0.386
0.154,-0.033,0.843
-0.565,-0.189,0.012
-0.165,-0.013,-0.037
0.113,-0.128,0.073
0.056,0.127,-0.139
-0.424,0.337,-0.395
-0.116,0.021,0.054
-0.303,0.196,0.681
0.044,0.158,0.414
0.25,0.407,-0.5
0.054,0.3,-0.51
-0.077,0.012,-0.149
-0.239,-0.18,0.236
0.339,0.254,-0.3
0.127,0.011,0.411
0.139,0.42,-0.28
-0.073,0.446,0.214
0.367,-0.295,0.656
0.276,-0.626,0.402
0.642,0.357,0.643
-0.159,0.091,0.216
-0.176,0.112,-0.552
0.093,0.025,0.257
0.49,0.062,0.417
0.174,0.113,-0.466
-0.072,-0.14,-0.768
-0.18,-0.101,-0.223
-0.049,0.487,-0.064
0.1,0.418,0.636
0.371,0.129,1.1
-0.013,0.549,-0.334
-0.155,-0.272,0.103
0.027,-0.234,0.923
-0.152,0.146,0.043
-0.735,0.214,0.029
-0.348,-0.415,0.238
-0.362,-0.169,0.24
-0.389,0.331,-0.21
0.567,0.292,-0.002
0.379,0.277,0.276
-0.113,0.088,0.188
0.088,0.192,0.305
0.188,-0.062,0.65
0.216,0.377,-0.943
0.625,-0.476,0.988
-0.65,0.22,0.399
0.422,0.17,0.385
0.183,0.105,0.371
0.517,0.243,-0.362
0.189,-0.445,-0.022
-0.015,-0.057,-0.098
0.064,0.386,-0.075
