ax,ay,az
0.004,-0.466,-0.221
-0.133,0.258,0.766
0.288,-0.106,1.32
-0.311,0.445,-0.016
0.115,-0.11,0.674
0.076,0.013,-0.331
-0.365,-0.166,-0.533
-0.061,-0.103,0.515
0.021,-0.083,-0.09
0.564,-0.204,0.386
0.405,0.115,0.125
0.329,0.378,-0.635
-0.19,0.281,-0.718
-0.139,0.212,-0.355
-0.004,0.405,0.012
0.311,0.168,0.179
0.046,0,-0.635
-0.405,0.003,0.235
-0.479,0.009,0.39
-0.287,0.366,0.017
-0.084,0.354,0.419
-0.328,0.285,-0.184
0.007,0.114,-0.365
0.341,0.206,0.113
-0.083,0.333,0.474
0.835,-0.379,1.461
0.385,0.156,-1.791
-0.5,0.853,-2.253
0.055,-0.203,0.85
-0.306,-0.365,0.204
0.288,-0.187,-0.242
0.185,-0.185,-0.247
0.414,0.067,-0.104
0.363,0.528,0.011
0.191,0.224,-0.051
-0.463,0.13,-0.519
0.045,0.213,0.226
0.573,0.372,0.488
0.457,0.237,-0.492
-0.198,-0.121,0.317
-0.251,0.105,0.097
-0.442,-0.474,-0.024
-0.342,-0.361,0.028
0.198,0.305,0.298
0.131,-0.224,0.177
-0.119,0.291,0.651
-0.172,0.418,0.082
-0.087,-0.166,-0.242
-0.152,0.357,-0.309
0.368,0.072,-0.215
0.037,0.006,0.439
0.622,0.094,0.409
0.357,0.173,1.371
0.695,-0.15,-0.523
-0.301,-0.12,-0.563
-0.401,-0.038,0.136
-0.166,0.346,-0.132
0.327,0.512,-0.433
0.016,-0.058,-0.319
0.252,0.121,0.054
0.137,0.627,-0.209
0.341,0.492,-0.25
0.343,0.186,0.492
-0.652,-0.105,-0.247
-0.112,-0.731,0.766
-0.291,-0.157,-0.552
-0.152,0.198,0.11
0.166,0.622,0.787
0.819,0.998,0.06
0.436,-0.452,0.864
0.244,-0.254,-0.804
-0.141,-0.288,0.378
0.457,-0.165,1.195
0.171,0.493,-0.38
0.036,0.228,-0.344
0.073,-0.03,-0.418
0.219,-0.016,-1.664
0.205,-0.233,-0.15
0.259,0.156,0.458
0.047,0.147,0.477
-0.356,0.169,-0.251
0.551,0.067,1.219
0.122,-0.191,1.08
-0.039,0.176,-0.843
-0.54,-0.257,-0.083
-0.819,0.186,-0.307
-0.243,0.23,-0.283
-0.507,0.399,0.149
0.018,-0.011,0.655
0.653,0.092,-0.404
-0.249,0.331,-0.534
-0.256,0.224,0.282
0.219,-0.062,-0.095
0.481,0.615,-0.512
0.321,0.473,0.101
0.497,-0.231,1.129
0.27,0.153,-0.2
-0.413,-0.122,-0.489
-0.334,0.333,-0.588
0.052,-0.012,1.131
0,-0.173,0.52
0.483,-0.12,0.438
-0.117,-0.112,-0.393
0.145,-0.358,0.414
0.009,-0.298,0.388
-0.329,0.652,-0.353
0.587,0.29,0.102
0.11,-0.077,0.293
-0.503,0.073,0.181
-1.286,0.436,-0.27
-0.623,0.382,-0.542
-0.231,-0.659,-0.143
0.05,-0.765,0.396
1.115,0.57,-0.431
0.345,0.111,1.308
0.081,0.892,0.077
-0.026,-0.132,-0.628
-1.01,0.645,-0.48
