ax,ay,az
0.457,0.749,-0.556
-0.148,0.566,-0.431
0.184,-0.726,0.939
-0.129,0.539,-0.069
0.237,-0.216,0.626
-0.168,-0.151,0.692
0.548,0.181,0.25
0.119,0.187,0.014
-0.578,0.844,0.446
1.092,0.25,0.265
0.361,0.14,-0.088
-0.495,-0.582,0.214
0.215,0.215,-0.721
-0.514,-0.054,0.655
-0.109,-0.38,-0.491
0.042,0.219,-0.914
-0.241,0.313,0.451
-0.374,0.443,0.263
-0.203,-0.317,0.06
-0.487,0.633,-0.034
0.164,0.403,0.68
0.243,0.508,-1.03
0.03,-0.426,1.443
0.153,0.102,-0.007
0.492,-0.287,-0.141
0.601,0.064,0.055
0.344,-0.385,0.08
-0.158,0.989,0.345
-0.523,-0.005,0.553
0.336,0.642,-0.5
0.699,-0.289,-1.015
-0.034,-0.544,0.503
-0.967,0.158,1.163
-0.016,0.302,0.699
0.127,0.185,0.543
0.438,0.078,-0.221
-0.4,-0.139,0.467
-0.78,-0.859,1.397
0.282,-0.544,-0.029
0.638,-0.769,0.328
0.169,0.249,0.136
-0.474,-0.54,0.051
-0.349,-0.175,-0.418
0.236,-0.573,-0.218
0.598,0.162,0.473
0.408,1.582,-0.192
0.269,0.186,0.042
0.057,0.079,-0.029
-0.05,-0.285,0.401
0.409,1.031,-1.289
-0.216,-1.199,0.745
-0.302,0.009,-0.428
0.127,0.088,-0.317
-0.385,-0.072,0.092
-0.142,0.245,-0.352
0.06,0.336,0.078
-0.085,0.1,0.48
-0.145,0.326,-0.104
-0.144,-0.262,-0.472
-0.144,0.296,0.209
-0.169,0.63,-0.055
-0.287,0.465,1.283
0.577,-0.847,0.529
0.264,-0.365,-0.242
-0.517,-0.202,0.3
0.226,-0.004,-0.139
0.286,0.063,-0.206
-0.092,0.345,-0.052
-0.211,0.407,0.338
0.186,-0.151,0.068
0.126,0.458,0.006
0.682,0.079,-0.822
1.112,1.127,-1.039
-0.698,0.109,0.761
-1.481,-0.042,0.273
-0.451,0.367,-0.52
0.666,-0.496,0.172
-0.151,0.229,0.818
-0.118,0.414,-0.352
-0.603,0.911,-0.682
-0.592,-0.718,-0.285
0.279,0.274,0.339
0.528,0.339,-0.067
0.019,-0.018,-0.198
-0.118,-0.195,0.303
0.071,0.151,0.45
-0.205,0.936,0.49
0.283,0.915,0.062
0.41,0.508,-0.088
0.114,0.186,-0.011
0.086,-0.229,-0.008
-0.13,-0.269,0.25
0.263,0.109,0.104
0.221,-0.188,-0.134
-0.185,-0.165,-0.77
-0.66,-0.254,-0.289
-0.08,0.167,0.485
-0.453,0.83,1.23
-0.513,0.869,0.155
0.27,-0.097,-0.111
