ax,ay,az
-0.177,0.454,0.129
-0.319,0.008,-0.057
0.122,-0.011,0.336
0.264,0.46,0.269
-0.01,0.373,0.728
-0.254,-0.207,-0.418
-0.528,-0.228,-0.423
0.428,0.195,0.522
-0.885,0.445,0.398
-0.185,0.118,-0.202
-0.032,-0.191,-0.497
-0.177,-0.058,-0.652
0.326,0.396,0.306
-0.041,0.326,-0.36
-0.573,0.018,-0.481
-0.565,0.278,0.101
0.002,0.59,-0.056
0.313,0.349,-1.069
0.299,0.099,0.405
0.569,-0.293,0.521
0.176,-0.241,0.279
-0.015,-0.404,0.419
-0.187,0.061,-0.341
-0.212,0.183,-1.109
0.334,0.051,-0.967
-0.054,0.049,0.054
-0.189,0.411,-0.053
0.121,0.448,0.284
0.848,0.007,-0.385
0.374,0,0.196
-0.241,0.926,-0.746
0.129,0.193,0.832
-0.493,-0.243,0.658
-0.613,-0.244,0.182
-0.086,0.172,-0.434
0.498,0.384,-0.363
0.393,0.2,-0.15
-0.067,-0.008,-0.262
-0.006,0.097,-0.865
-0.125,-0.235,-0.392
-0.252,0.46,-0.692
-0.498,-0.146,1.039
-0.707,0.738,0.109
0.757,0.35,0.94
0.429,0.238,-0.52
0.777,-0.092,-0.307
0.232,0.007,-0.395
-0.428,0.029,-0.56
0.184,0.002,0.375
0.316,0.214,0.216
-0.104,0.131,-0.22
0.298,0.167,0.105
-0.248,0.105,0.392
-0.514,0.015,0.639
-0.121,0.314,0.026
0.17,0.06,0.176
0.21,-0.203,-0.433
0.344,-0.287,0.187
0.431,0.237,-0.382
-0.054,0.3,-0.006
-0.174,0.554,0.576
0.014,0.106,0.449
-0.334,0.407,-1.052
-0.491,-0.356,-0.198
0.129,-0.633,-0.562
0.649,0.185,-0.3
-0.007,0.311,0.569
0.458,0.083,0.289
0.549,-0.054,0.023
0.144,0.328,0.524
0.189,0.288,0.812
0.149,-0.238,-0.256
0.044,-0.156,-0.07
0.008,0.118,0.188
-0.142,0.246,0.104
0.007,0.229,0.286
0.006,-0.022,1.333
-0.342,0.125,0.18
-0.152,-0.088,0.534
-0.517,-0.04,0.554
-0.8,0.078,-0.425
-0.306,-0.157,-0.388
-0.081,-0.298,-0.367
0.406,-0.209,-0.387
0.319,0.358,0.363
0.174,0.451,-0.282
-0.092,0.283,0.245
0.392,0.184,0.382
0.14,0.036,0.359
0.181,-0.184,-0.183
0.636,0.438,1.136
0.341,-0.049,0.387
-0.047,-0.08,1.47
0.547,0.2,-0.759
0.166,0.471,-1.227
-1.159,0.111,0.125
0.698,0.106,0.528
0.338,0.112,1.121
-0.204,0.085,-0.783
0.139,-0.234,0.149
-0.256,0.118,-0.069
0.506,0.142,1.947
0.212,0.484,-0.282
1.066,0.439,-0.449
-0.195,0.12,0.28
-0.612,0.06,0.695
-0.336,-0.729,-0.85
-1.199,0.67,0.155
1.299,0.157,-1.664
-0.119,1.134,-0.549
