ax,ay,az
0.071,0.492,-0.383
-0.308,0.259,-0.429
0.255,0.118,-0.05
0.383,0.418,-0.901
0.367,-0.142,-0.339
-0.021,-0.449,0.988
0.339,-0.499,0.677
-0.008,0.156,0.09
0.474,0.323,-0.357
-0.055,0.59,-0.047
-0.012,0.153,0.026
0.25,-0.552,0.469
-1.013,0.159,-0.762
0.136,0.079,2.349
0.263,-0.157,0.203
-0.644,0.08,-0.121
-0.461,-0.186,-0.175
-0.411,0.034,-0.535
0.045,0.48,-0.461
0.031,0.172,-0.004
0.081,-0.124,0.074
0.007,-0.317,0.594
0.438,-0.383,1.096
0.115,-0.393,1.315
-0.193,0.661,-0.214
0.64,0.267,-0.224
-0.792,0.178,-0.806
0.348,-0.008,1.145
-0.024,-0.061,0.379
0.017,-0.004,-0.184
0.107,0.038,0.011
0.17,0.158,-0.205
0.44,0.206,0.254
0.171,0.085,-0.159
-0.078,0.051,0.194
-0.012,0.319,-1.2
-0.615,0.064,0.749
-0.398,0.249,0.7
-0.323,0.18,-0.066
-0.227,-0.346,0.312
0.089,-0.278,-0.395
0.103,-0.172,-0.529
-0.469,0.137,-0.25
-0.113,0.418,0.706
-0.049,0.427,0.144
-0.222,0.069,0.354
-0.161,-0.11,0.429
-0.077,-0.035,0.161
0.64,0.036,0.627
-0.019,0.086,-0.862
-0.602,-0.459,0.301
-0.416,-0.044,0.404
0.298,-0.104,-0.1
-0.144,0.236,0.18
0.383,0.248,-0.003
0.324,0.102,-0.005
0.345,0.117,-0.072
0.126,0.037,0.302
0.095,-0.017,0.541
-0.233,0.046,0.305
0.078,-0.217,-0.972
0.158,0.526,0.199
-0.324,0.17,0.411
-0.599,-0.164,-0.844
-0.622,0.128,0.231
0.157,0.142,0.116
-0.084,0.416,0.229
0.332,0.623,1.158
0.277,-0.003,0.156
-0.041,-0.676,-0.178
0.054,-0.159,-0.589
0.053,-0.17,-0.187
-0.343,-0.176,-0.06
-0.118,-0.022,0.015
-0.021,0.014,0.596
0.109,0.178,-0.399
0.111,0.418,0.369
0.1,0.323,1.122
-0.224,0.556,-0.451
-0.682,-0.053,-0.603
-0.234,-0.08,0.42
-0.305,-0.018,-0.171
-0.304,-0.245,0.436
-0.333,0.131,-0.309
-0.156,0.317,-0.001
-0.111,0.377,-0.456
-0.039,0.315,-0.293
-0.016,-0.044,-0.545
0.462,-0.011,-0.021
0.261,0.372,0.574
-0.529,0.187,0.014
-0.067,0.356,-0.131
0.237,0.37,0.423
0.179,-0.254,0.537
0.415,-0.038,-0.422
0.382,-0.042,-0.545
0.029,-0.148,-0.206
0.041,0.087,-0.54
0.088,0.217,-0.096
0.213,0.303,-0.246
-0.237,0.154,-0.17
0.582,0.473,-0.022
-0.013,0.465,-0.027
-0.044,0.198,0.153
-0.545,-0.066,0.724
-0.77,0.044,1.186
-0.615,-0.419,0.276
-0.312,-0.16,-0.575
0.14,0.087,-0.21
