ax,ay,az
0.12,0.352,-0.288
0.885,0.132,0.111
-0.798,-0.486,1.877
-1.109,-0.296,-0.173
-0.291,-0.38,1.351
-0.878,0.096,0.726
0.297,-0.113,0.008
0.447,0.518,-1.524
0.086,-0.091,0.169
0.389,0.287,-0.086
-0.083,1.09,-0.321
-1.182,0.894,1.077
0.573,0.338,-1.92
-0.561,-0.069,0.522
0.64,-0.639,0.558
0.609,-0.083,0.356
0.131,-0.247,-0.483
0.23,-0.386,0.03
-0.024,0.468,-0.736
0.459,-0.18,-0.45
0.653,0.408,-1.761
-0.486,0.9,0.183
-0.63,0.334,0.716
-0.057,0.05,0.24
0.287,0.166,-0.351
-0.699,0.495,0.424
0.455,-0.311,-0.269
-0.247,0.039,0.006
-0.086,0.25,0.496
-0.144,0.55,-0.045
-0.162,0.238,0.278
0.08,0.172,-0.358
0.115,-0.218,0.416
-0.505,-0.248,0.926
-0.036,0.183,-0.09
0.822,-0.147,-0.273
-0.366,0.329,0.033
0.351,-0.419,-0.578
0.185,0.067,0.338
-0.37,0.217,0.543
0.015,-0.358,-0.622
-0.133,0.187,0.138
-0.115,0.467,0.025
0.412,0.096,-0.365
0.489,-0.264,-0.115
0.277,-0.133,0.024
-0.167,0.758,0.306
-0.118,-0.123,0.667
-0.5,0.62,0.003
-0.693,0.01,0.951
0.096,-0.308,-0.445
-0.518,-0.329,0.283
0.163,0.667,-0.589
1.037,-0.399,-0.638
-0.152,0.18,0.047
-0.875,0.466,0.171
-0.199,0.393,-0.1
0.128,0.569,0.083
0.02,0.523,-0.069
-0.124,0.162,0.253
0.337,-0.664,1.163
0.25,-0.349,-0.183
-0.135,-0.273,-0.083
0.513,0.017,-0.663
-0.218,0.094,1.116
-0.357,0.407,0.569
-0.352,0.29,0.602
0.162,0.411,-0.084
-0.275,0.292,-0.063
0.141,-0.161,-0.187
0.15,-0.402,0.437
0.228,0.132,-0.254
-0.174,0.292,0.031
-0.417,-0.041,-0.049
-0.284,0.414,-0.291
-0.022,0.26,-0.125
0.096,0.218,-0.009
0.234,-0.405,0.097
0.081,-0.246,-0.053
0.129,0.169,-0.407
-0.318,0.413,0.342
0.284,0.719,-0.742
-0.754,0.437,0.488
0.724,0.417,0.647
0.977,0.346,-0.063
0.444,0.26,0.07
0.514,-0.079,-0.377
0.624,-1.901,-0.05
-0.044,-0.29,0.503
-0.866,0.142,0.593
0.316,1.085,-0.023
-0.177,0.496,-0.037
0.24,-0.479,0.061
0.499,-0.572,-0.195
0.121,-0.154,0.991
-0.513,0.542,-0.035
0.021,-0.327,-0.258
-0.043,-0.51,0.67
