ax,ay,az
-0.095,0.487,-0.423
-0.044,0.049,0.465
0.863,-0.184,-0.273
1.064,0.157,1.286
0.481,0.035,1.21
-0.051,-0.061,-0.011
-0.155,0.141,-1.182
0.741,-0.391,0.117
-0.066,-0.079,-0.131
-0.432,0.32,-0.201
-0.941,0.445,0.015
-0.196,0.27,-0.677
0.159,-0.151,-0.148
0.183,-0.049,-0.601
0.16,-0.244,-0.341
0.089,0.027,-0.07
0.149,0.288,0.246
0.27,0.473,0.19
0.116,0.483,-0.171
-0.564,0.696,-0.605
0.166,0.293,0.149
0.069,-0.446,1.048
-0.481,-0.176,0.421
-0.484,0.142,-0.268
-0.207,-0.134,-0.25
0.307,0.075,-0.347
0.139,0.226,-0.469
-0.267,0.284,0
-0.327,0.3,-0.014
0.046,0.278,-0.063
-0.135,0.204,-0.326
0.006,0.041,-0.217
0.648,-0.084,-0.091
0.346,0.473,-0.149
-0.574,0.121,-0.238
-0.304,0.287,0.131
0.029,0.647,0.277
0.217,-0.448,0.214
0.119,-1.057,1.378
0.432,-0.12,-0.769
-0.462,0.599,0.509
-0.028,0.611,0.031
-0.308,0.141,-0.273
-0.141,-0.164,-0.301
0.054,-0.443,0.014
0.087,-0.185,-0.361
0.577,0.017,-0.075
0.235,0.268,-0.373
-0.24,0.43,0.213
-0.225,0.32,0.201
-0.143,-0.011,-0.092
-0.003,0.023,-0.03
0.082,0.393,-0.152
0.213,0.122,0.823
0.432,-0.147,0.681
-0.306,-0.003,-0.7
-0.351,-0.162,-0.274
-0.89,-0.076,0.186
0.017,0.262,0.741
-0.259,0.072,0.742
-0.104,0.163,-0.817
-0.107,-0.097,-0.487
0.041,-0.268,-0.195
0.023,0.129,-0.05
-0.319,0.185,-0.177
0.035,0.484,-0.428
0.337,-0.065,0.51
0.206,0.516,-0.017
0.571,0.684,1.335
0.328,0.403,0.36
0.038,-0.119,-0.257
-0.23,-0.213,-0.494
0.241,-0.359,0.45
0.263,0.114,-0.007
-0.151,-0.148,0.124
-0.304,0.032,-0.318
0.551,0.299,-0.069
0.079,0.347,-0.035
0.052,0.053,-0.344
0.075,-0.135,0.352
-0.278,0.118,0.017
-0.12,0.083,0.212
0.19,-0.288,0.11
-0.717,0.546,0.022
0.702,0.426,0.143
0.692,-0.148,1.343
-0.664,-0.035,0.259
0.416,-0.031,0.145
-0.63,0.072,-1.268
-0.149,0.033,-0.155
-0.076,0.263,-1.013
-0.449,0.141,-0.352
-0.044,0.135,0.087
0.182,-0.74,0.778
0.258,0.01,0.553
0.726,0.234,0.385
0.235,-0.256,0.185
0.266,-0.192,-0.318
0.095,0.079,0.367
-0.043,0.32,0.051
