ax,ay,az
-0.024,-0.005,-0.661
0.558,0.104,-0.467
-0.382,0.329,0.286
-1.16,0.107,0.733
-0.234,-0.121,-0.06
-0.113,-0.023,-0.231
0.502,-0.188,-0.424
0.311,0.125,0.038
-0.018,0.645,0.121
0.06,0.067,-0.149
-0.029,0.339,0.16
0.04,0.449,0.139
-0.506,0.155,0.503
0.301,0.981,-0.712
0.085,-0.748,0.154
-0.622,-0.384,0.88
-0.275,0.087,0.002
-0.638,0.426,0.157
-0.053,0.128,0.197
0.041,0.237,-0.226
0.009,0.24,0.444
0.348,0.07,-0.245
0.756,-0.537,-0.75
0.012,-0.051,0.476
-0.942,0.757,1.471
0.532,-0.024,-0.119
0.295,-0.042,0.074
-0.07,0.633,-0.93
-0.011,0.157,-0.109
0.278,-0.123,-0.183
-1.077,-0.251,0.705
-0.271,0.535,-0.703
0.068,0.182,0.062
-0.063,0.436,0.794
0.243,-0.308,-0.35
0.055,-0.048,-0.34
-0.058,-0.183,-0.607
-0.502,-0.021,-0.093
0.143,0.198,0.177
-0.121,0.025,1.263
0.124,0.173,0.837
-0.113,0.308,0.789
0.504,0.237,-0.783
0.418,-0.437,0.371
-0.374,0.582,0.39
-2.072,1.702,-2.432
0.171,-0.271,0.891
-0.656,-0.361,-0.292
1.133,0.206,-0.605
1.148,0.278,0.508
-0.246,-0.327,1.154
0.297,0.485,-0.14
-0.147,0.422,-0.004
0.741,0.235,-1.062
0.072,-0.32,0.802
-0.347,-0.38,0.476
-0.287,0.552,0.598
0.283,0.119,-0.944
-0.095,-0.069,-0.425
0.161,0.063,-0.247
-1.066,0.25,0.56
-0.725,0.916,0.115
0.202,1.744,-0.951
-0.527,-1.444,0.218
0.678,0.19,-0.829
0.039,0.418,0.133
-0.666,-0.128,1.119
-0.157,-0.279,0.21
0.054,0.468,-0.656
-0.019,0.341,-0.57
0.419,0.301,-0.321
0.701,-0.259,0.321
-0.132,-0.596,0.295
0.436,0.697,-0.031
0.062,0.155,0.285
-0.301,-0.106,0.045
-0.105,0.22,0.213
0.089,0.259,-0.064
-0.292,-0.056,-0.048
-0.314,-0.469,-0.569
-0.519,0.406,1.863
0.162,0.061,1.557
0.379,-0.033,0.03
0.003,-0.359,0.299
-0.102,0.079,0.727
0.702,0.573,-1.113
0.515,0.278,-0.818
-0.186,0.303,0.593
0.005,0.26,-0.296
-0.315,-0.157,-0.52
0.014,0.015,-0.12
0.482,0.452,0.193
0.133,0.575,0.251
