height_m,bldg_name,yr,city
251.1552,The Harbourside ,2003,Hong Kong
251.1552,Rialto Towers ,1986,Melbourne
250.8504,Jiali Plaza ,1997,Wuhan
249.936,Chelsea Tower ,2005,Dubai
249.936,Wisma 46 ,1996,Jakarta
249.936,Park Tower ,2007,Beijing
249.936,One Atlantic Center ,1987,Atlanta
249.936,Torre Caja Madrid ,2008,Madrid
249.0216,KLI 63 Building ,1985,Seoul
249.0216,Central Park ,1992,Perth
249.0216,Torre de Cristal ,2008,Madrid
248.1072,CitySpire Center ,1987,New York City
248.1072,Hangzhou No.2 Telecom Hub ,2003,Hangzhou
247.8024,Mid Town Tower ,2007,Tokyo
247.8024,One Chase Manhattan Plaza ,1961,New York City
247.1928,State Tower ,2001,Bangkok
247.1928,Chase Tower ,1990,Indianapolis
246.888,Midland Square ,2006,Nagoya
246.5832,4 Times Square ,1999,New York City
246.2784,MetLife Building ,1963,New York City
245.6688,Bloomberg Tower ,2005,New York City
245.0592,One Raffles Quay North Tower,2006,Singapore
245.0592,Al Fattan Tower ,2006,Dubai
245.0592,JR Central Office Tower ,2000,Nagoya
245.0592,Marina Bay Tower ,2008,Singapore
245.0592,Oasis Beach Tower ,2006,Dubai
244.7544,Shin Kong Life Tower ,1993,Taipei
244.1448,City Gate Ramat Gan ,2001,Ramat Gan
244.1448,Chifley Tower ,1992,Sydney
243.84,Arenco Tower ,2008,Dubai
243.5352,Menara Maybank ,1988,Kuala Lumpur
243.5352,"Tokyo City Hall, Tower I ",1991,Tokyo
242.9256,R&F Centre ,2007,Guangzhou
242.9256,Citigroup Centre ,2000,Sydney
242.9256,Dalian Futures Square 1 ,2008,Dalian
242.9256,Dalian Futures Square 2 ,2008,Dalian
242.6208,The Tower ,2002,Dubai
242.316,Zapad ,2008,Moscow
242.0112,Dalian World Trade Center ,2000,Dalian
241.4016,Mellon Bank Center ,1990,Philadelphia
241.4016,Woolworth Building ,1913,New York City
241.4016,IDS Tower ,1973,Minneapolis
241.4016,Maxdo Centre ,2002,Shanghai
241.0968,Bank of China Mansion ,1999,Qingdao
240.792,Hancock Place ,1976,Boston
240.792,Shenzhen Broadcasting Center Building,2001,Shenzhen
240.4872,Four Seasons Hotel & Tower,2003,Miami
240.4872,Manulife Plaza ,1998,Hong Kong
239.8776,Panglin Plaza ,1999,Shenzhen
239.8776,Bahrain World Trade Centre 1,2008,Manama
239.8776,Bahrain World Trade Centre 2,2008,Manama
239.8776,Moscow State University ,1953,Moscow
239.8776,NTT DoCoMo Yoyogi Building,2000,Tokyo
239.8776,Sunshine 60 Building ,1978,Tokyo
239.8776,Deutsche Bank Place ,2005,Sydney
239.8776,Comerica Bank Tower ,1987,Dallas
239.268,"Mok-dong Hyperion I, Tower B",2003,Seoul
239.268,300 North LaSalle ,2009,Chicago
238.9632,Beijing TV Centre ,2006,Beijing
238.9632,Commerce Court West ,1972,Toronto
238.0488,Roppongi Hills Mori Tower ,2003,Tokyo
238.0488,30 Hudson Street ,2004,Jersey City
238.0488,Cloud Nine ,2006,Shanghai
238.0488,New World Center ,2006,Shenzhen
238.0488,Tianjin Xinda Plaza ,2004,Tianjin
238.0488,Vista Tower ,1994,Kuala Lumpur
237.744,Bank of America Center ,1983,Houston
237.4392,555 California Street ,1969,San Francisco
237.1344,One Worldwide Plaza ,1989,New York City
