Date,Residential,Commercial,Industrial,Total
3/1/2000,84624330,80707484,88471366,262282721
4/1/2000,76197378,78184548,86472622,248976033
5/1/2000,83336096,86331128,90479644,269104723
6/1/2000,103985607,94330276,92075434,299728477
7/1/2000,119464453,98616288,89825402,317632041
8/1/2000,123700339,102571553,94233362,330707792
9/1/2000,108530749,94509771,90559692,303708406
10/1/2000,86811220,87341050,89379608,272782879
11/1/2000,84482232,83026401,87706357,264107725
12/1/2000,113141368,85843277,84285693,292182786
1/1/2001,127065784,90825275,,310816071
2/1/2001,99877669,81466859,82248230,272334738
3/1/2001,92804586,84064252,83521518,269298398
4/1/2001,82453781,81060536,82253076,254390935
5/1/2001,81731154,87470747,86096583,264490491
6/1/2001,99407293,95658292,85268863,290008139
7/1/2001,120707430,102156275,83175561,315798058
8/1/2001,129205363,105621937,86797436,332192653
9/1/2001,105943194,96704451,82631495,295925256
10/1/2001,85419586,89377688,83144744,267558797
11/1/2001,80806698,83226304,79913683,253033661
12/1/2001,96184056,85435922,78080761,268610910
1/1/2002,116891802,87428641,78240283,290967482
2/1/2002,96592935,80951199,78059430,263728267
3/1/2002,95318666,83544915,80461220,267459801
4/1/2002,85407608,83618998,80750456,257946375
5/1/2002,87318536,88974189,84459898,269323296
6/1/2002,107169994,95903301,84386746,296469771
7/1/2002,133694801,105985519,88122968,337284675
8/1/2002,134332469,105819307,88264599,338114517
9/1/2002,115833032,100808795,84346268,310497884
10/1/2002,94531344,96312650,83984287,284177961
11/1/2002,88822306,86095432,79705586,263033588
12/1/2002,109266377,89053648,79455903,286462394
1/1/2003,124272787,98557468,80828130,
2/1/2003,110937374,91238922,79516569,282239574
3/1/2003,99561314,92579673,81758335,274473419
4/1/2003,83448247,89684694,83057621,256709986
5/1/2003,87804372,95818831,84619167,268788091
6/1/2003,101285789,102407246,86209835,290449882
7/1/2003,130673856,115232919,87732303,334208698
8/1/2003,,116224461,90536242,341819281
9/1/2003,113848981,106472704,85681990,306589907
10/1/2003,89780862,100036266,86981712,277380212
11/1/2003,86658680,92604742,83163830,262976701
12/1/2003,113083852,97869688,82287520,293836141
1/1/2004,127121384,99281101,80823038,307856466
2/1/2004,112464058,93677467,79667524,286433350
3/1/2004,98947208,95330881,83327527,278181556
4/1/2004,85376867,93531825,83369264,262850989
5/1/2004,90598212,100879283,86988353,279035825
