Player,Year,Team,Pos,G,AB,R,H,B2,B3,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,TB,RC
"Wilson, H",1930,CHC,OF,155,585,146,208,35,6,56,191,105,84,3,NaN,0.356,0.454,0.723,1.177,423,191.8826
"Gehrig, L",1931,NYY,1B,155,619,163,211,31,15,46,184,117,56,17,12,0.341,0.446,0.662,1.108,410,182.7174
"Greenberg, H",1937,DET,1B,154,594,137,200,49,14,40,183,102,101,8,3,0.337,0.436,0.668,1.105,397,172.2615
"Foxx, J",1938,BOS,1B,149,565,139,197,33,9,50,175,119,76,5,4,0.349,0.462,0.704,1.166,398,183.8713
"Gehrig, L",1927,NYY,1B,155,584,149,218,52,18,47,175,109,84,10,8,0.373,0.474,0.765,1.24,447,210.9221
"Gehrig, L",1930,NYY,1B,154,581,143,220,42,17,41,174,101,63,12,14,0.379,0.473,0.721,1.194,419,197.2126
"Ruth, B",1921,NYY,OF,152,540,177,204,44,16,59,171,145,81,17,13,0.378,0.512,0.846,1.359,457,232.8365
"Greenberg, H",1935,DET,1B,152,619,121,203,46,16,36,170,87,91,4,3,0.328,0.411,0.628,1.039,389,159.7875
"Klein, C",1930,PHI,OF,156,648,158,250,59,8,40,170,54,50,4,NaN,0.386,0.436,0.687,1.123,445,192.7066
"Foxx, J",1932,PHA,1B,154,585,151,213,33,9,58,169,116,96,3,7,0.364,0.469,0.749,1.218,438,205.5663
"DiMaggio, J",1937,NYY,OF,151,621,151,215,35,15,46,167,64,37,3,0,0.346,0.412,0.673,1.085,418,170.2511
"Thompson, S",1887,DET,OF,127,545,118,203,29,23,10,166,32,19,22,NaN,0.372,0.416,0.565,0.982,308,125.4419
"Gehrig, L",1934,NYY,1B,154,579,128,210,40,6,49,165,109,31,9,5,0.363,0.465,0.706,1.172,409,189.6381
