Date,Belgium,France,Germany,Italy,Netherlands,UK,US,EuroAvg
10/06/1997,1.07,0.83,1.06,1.08,1.14,0.9,1.01,1.0133
10/13/1997,1.07,0.83,1.07,1.08,1.14,0.87,1,1.01
10/20/1997,1.06,0.81,1.05,1.08,1.13,0.88,1,1.0017
10/27/1997,1.07,0.82,1.03,1.12,1.15,0.89,0.99,1.0133
11/03/1997,1.08,0.84,1.07,1.1,1.16,0.89,0.98,1.0233
11/10/1997,1.09,0.86,1.05,1.11,1.15,0.89,0.98,1.025
11/17/1997,1.08,0.84,1,1.09,1.13,0.9,0.97,1.0067
11/24/1997,1.05,0.84,1,1.08,1.14,0.9,0.97,1.0017
12/01/1997,1.02,0.81,0.98,1.04,1.09,0.88,0.95,0.97
12/08/1997,1.02,0.8,0.96,1.04,1.09,0.87,0.94,0.9633
12/15/1997,1.03,0.81,0.96,1.04,1.11,0.86,0.93,0.9683
