Team,Points,GoalDifference
Arsenal,71,29
Aston Villa,17,-49
Bournemouth,42,-22
Chelsea,50,6
Crystal Palace,42,-12
Everton,47,4
Leicester City,81,32
Liverpool,60,13
Manchester City,66,30
Manchester United,66,14
Newcastle United,37,-21
Norwich City,34,-28
Southampton,63,18
Stoke City,51,-14
Sunderland,39,-14
Swansea City,47,-10
Tottenham Hotspur,70,34
Watford,45,-10
West Bromwich Albion,43,-14
West Ham United,62,14
