42.1,52
28,52
35.1,53.6
39,53.1
30,45
24.8,37.4
25,37.9
30,37.9
25,34
25,39.9
30.2,39
28.4,37.9
30,54
30.9,63
25,39
23,33.1
17.6,28.9
5,24.1
1.9,25
19.4,28
1.4,19.9
-2.2,23
-2,27
3,27
17.6,26.6
15.8,28.9
7,28.9
1.4,21.2
1.9,35.1
26.6,36
19,36
15.1,32
19.9,35.6
16,36
21.9,36
30.9,46.9
30.9,46.9
28.9,41
28.9,48
32,50
33.1,50
26.1,39
26.1,37.9
27,37.9
21,37.9
21,50
34,54
32,54
24.8,37
12.2,27
12.9,30.9
21,36.7
24.1,34
24.1,37
15.8,32
16,28.9
19,33.8
21,33.8
19,34
19,34
24.8,34
19.4,32
19,34
19,41
25,41
27,46
21.2,46.4
10.4,23
10.9,30
15.1,32
32,37.4
28,39.2
27,41
27,46
30.9,46
30,46
30,46
30,48
30.9,52
33.1,52
34,55
34,55
33.1,44.1
32,50
27,50
27,51.1
28.9,51.1
39.9,51.8
39,51.1
37,48
37,48
37,48.9
37,53.1
39.9,53.1
39.9,64
39.9,64
42.1,64.9
43,64.9
42.1,57
39,68
39.2,52
33.1,48
33.1,48
33.1,51.1
36,51.1
34,51.1
34,66.9
55.4,66.2
45,71.1
60.1,86
41,77
39,61
39,63
44.1,63
41,60.1
41,68
42.1,68
46.4,60.8
42.8,64
43,64
46,59
44.1,63
44.1,63
44.1,59
42.1,55
42.1,55
42.1,52
42.1,48.9
42.1,53.1
46,60.1
46.9,75.9
46.9,75.9
39,64.9
39,64.9
46,59
44.1,55
44.1,61
46.4,53.6
46,61
46,64
46.4,57.9
46,55.9
46,55.9
44.1,52
44.1,48.2
41,52
46,61
51.1,78.1
53.1,78.1
55,71.6
51.1,71.1
48,59
48,73.9
51.1,78.1
51.1,78.1
59,81
53.1,81
53.1,88
64.9,88
62.6,82
60.1,84
60.1,88
71.1,89.6
71.1,90
54,90
50,55.4
50,57.2
50,64.9
52,64.9
53.1,63
52,71.1
57,84.2
57,84
55,75.9
55,86
59,95
68,95
64.9,91.9
64.9,82
69.1,86
69.1,86
60.8,71.6
61,82.9
60.8,78.1
60.8,73.9
61,88
61,88
59,72
57,63
55.4,78.8
55.9,90
64,91.9
63,91.9
62.1,80.1
62.1,86
66.9,86
64.4,84.9
64.9,86
69.1,86
73,93
73.9,93
71.6,84.9
71.1,91
68,91
66,84.9
66,82.9
66.9,93.9
69.1,93.9
64,93.9
62.6,82.9
63,82.9
64,75.9
64,84.9
64,89.1
68,89.1
66.2,78.8
66.9,97
68,77
64,86
64,86
68,87.1
71.1,88
71.6,91
66,91.9
66,95
68,95
64.4,70
60.1,71.1
60.1,84.9
62.1,84.9
61,75
61,73.9
64.9,88
69.1,88
64,86
64,80.1
60.1,75.9
60.1,81
63,82.9
64,86
64.9,86
69.1,73.9
69.1,82.9
68,84
66,84.9
66,84.9
64,82.9
59,78.1
57.9,72
57.9,78.1
59,84.9
62.1,84.9
57.9,71.1
53.1,73.9
53.1,91
63,91
64.4,86
64.9,86
64,79
62.6,68
62.1,72
57.9,82
57.9,82
62.1,79
60.1,84.9
60.1,84.9
51.1,80.1
48,66.9
48,75
63,75
51.1,72
57,75.9
48.2,60.1
48.9,71.1
48,71.1
50,70
50,71.1
57,72
60.8,78.1
61,81
55,81
51.1,55.4
51.1,55.9
55,57.2
51.1,57.9
54,57.2
55,59
57,60.8
52,61
52,63
46,64.9
52,66.9
46.9,66.9
44.1,57.9
39.9,57.9
39.9,50
41,48.9
43,51.8
39,51.1
39,51.1
39,51.1
33.1,46
33.1,66.9
39.9,70
45,70
45,70
39.9,64
39.9,64
48,60.1
46.9,60.1
46.9,59
48,60.1
36,60.1
42.8,60.8
33.8,43
30.9,51.1
30.9,63
39.9,64.9
39.9,64.9
39.9,66
39,66
33.8,39.2
28,43
28,55.9
35.1,57.9
41,57.9
28.9,48.9
26.1,43
21,43
21,37.9
24.1,43
30.9,53.1
39,61
45,61
39,60.1
37.4,44.1
30,43
26.1,37
25,34
25,36
23,36
19,33.1
19,37
26.1,37
27,41
28.9,41
15.8,33.1
10,25
10,30.9
28.4,46.9
30,48
30,39
26.6,34
21.9,35.1
19.9,35.1
19.9,33.1
25,46.9
32,51.1
30,51.1
30,46.9
28.4,39.9
26.6,41
27,50
35.1,48.9
23,46.9
