ax,ay,az
-0.454,-0.186,-0.142
-0.038,0.433,-0.004
-0.268,0.259,0.47
0.604,-0.364,0.541
0.588,-0.889,1.215
0.575,0.722,-0.26
-1.144,0.331,2.768
0.077,-0.021,-1.715
-0.041,1.233,-0.331
0.298,0.941,-0.299
0.028,0.028,0.584
-0.827,-0.107,1.784
-0.143,-0.504,-0.353
-0.416,-0.161,1.012
-0.294,0.221,-0.619
0.245,0.088,0.037
0.626,-0.386,0.131
-0.027,-0.08,-0.479
0.055,0.442,-0.294
-0.328,0.955,1.227
-0.552,-0.413,1.288
1.588,-0.13,-0.696
-0.716,0.907,1.446
0.222,-0.451,0.537
0.387,0.323,-1.216
0.07,-0.041,0.67
-0.005,0.503,-0.189
-0.562,-0.286,0.493
0.028,0.23,-1.015
0.212,0.324,-0.598
-0.335,0.483,0.309
-0.128,0.062,0.114
-0.711,-0.337,1.301
0.382,-0.672,-0.084
-0.807,-0.048,1.029
-0.5,-0.069,-0.412
-0.354,-0.033,0.539
-0.22,0.277,-0.083
0.13,-0.096,0.392
0.144,0.673,-0.3
-0.449,-0.149,0.453
0.4,-0.756,0.216
0.581,-0.009,0.451
-0.584,0.06,1.161
0.59,-0.306,-0.617
-0.369,1.062,1.77
0.328,1.122,-0.281
-0.271,0.216,0.914
-0.962,-0.086,1.071
-0.163,-0.979,-0.504
-0.978,0.315,1.994
0.503,-0.601,-0.374
-0.008,0.183,-0.434
-0.444,0.173,0.08
-0.095,-0.087,0.322
-0.127,0.961,-0.137
-0.125,0.181,0.438
-0.396,-0.713,1.205
0.987,-0.062,0.158
-0.789,0.324,0.68
0.275,-0.502,-0.569
0.377,0.128,0
-0.104,0.519,0.83
-0.771,0.619,1.387
0.173,-0.15,-0.674
-0.511,0.786,0.91
0.079,-0.44,0.871
-0.491,-1.248,0.432
-0.296,0.259,-1.01
-0.095,-0.135,-0.707
-0.371,0.147,0.292
0.017,-0.019,0.065
-0.286,0.582,-0.142
-0.139,-0.272,1.503
-0.274,-0.108,0.621
-0.166,-0.906,1.156
1.395,-0.417,-0.717
0.27,-0.047,0.054
0.303,-0.104,0.001
0.368,-0.399,1.354
-0.313,0.41,-0.984
-0.299,0.332,-0.349
-0.204,0.391,0.582
1.036,0.698,-0.086
-1.824,0.065,2.467
-0.711,-1.454,-0.774
-1.211,-0.705,1.819
-0.129,-0.264,-0.177
-0.164,0.332,0.056
-0.141,0.03,0.292
-0.381,0.056,0.326
0.351,-0.063,0.245
0.219,-0.196,0.709
0.186,-0.606,0.682
0.399,0.195,0.08
-0.403,-0.39,-0.012
0.196,-0.161,-0.151
0.258,0.073,0.808
-0.227,-0.162,-1.978
-0.261,0.425,-0.136
0.967,0.391,-0.158
-0.44,0.143,2.086
0.025,-0.075,0.374
-0.334,-0.196,0.345
0.081,-0.001,-0.878
-0.552,0.696,-0.192
-0.557,-0.021,0.235
-0.763,0.446,0.972
-0.399,-0.168,1.513
-0.651,0.166,2.182
-0.285,-0.307,0.861
0.053,0.552,0.658
