ax,ay,az
-0.788,0.994,-0.468
-0.509,0.435,-1.353
0.639,-0.046,-0.61
-0.233,1.003,0.866
-0.164,0.473,1.481
-0.545,-0.4,1.136
0.648,-0.56,-1.412
-0.366,-0.372,2.244
0.12,0.073,-0.574
0.118,-0.276,-0.269
-0.464,-0.157,0.236
0.406,0.35,-0.486
-0.459,0.247,2.573
1.061,-0.946,0.972
1.302,-0.156,-1.218
-0.039,0.564,0.412
-1.111,-0.454,1.899
0.753,-0.418,-0.49
-1.45,-0.353,3.546
0.14,0.073,-1.278
-0.521,0.597,0.754
-0.231,-0.275,0.012
-0.906,0.447,0.239
0.321,-0.511,-0.258
0.923,-0.13,-0.247
1.156,-0.591,0.905
0.454,0.509,-0.555
-0.348,-0.789,0.479
-0.343,0.167,-0.354
-0.16,0.441,-1.033
1.053,0.122,-0.413
0.298,0.58,-0.184
-0.329,0.79,0.341
-1.009,-0.341,1.133
0.088,-0.311,-0.009
-0.474,-0.997,1.912
0.1,0.206,-1.112
0.367,0.151,-0.327
-0.459,0.45,-0.64
0.029,-0.215,0.058
-0.322,0.383,1.374
0.245,-0.116,0.583
0.522,-1.696,2.46
0.669,0.171,0.295
-0.95,0.334,1.334
-0.253,-0.505,-0.421
0.385,-0.307,-0.198
-0.129,0.458,0.374
0.39,0.28,-1.037
0.477,0.405,0.938
0.526,-0.126,-0.429
-0.822,-0.485,1.053
-0.42,-0.896,1.873
0.213,-0.165,0.256
-0.101,0.689,-0.625
-0.233,0.117,0.63
-0.259,0.375,-0.024
0.415,0.676,-0.948
-0.198,-0.835,1.546
0.012,-0.521,0.056
0.254,0.349,-0.739
-0.762,-0.481,1.058
-0.193,-0.599,-1.272
0.411,0.041,0.094
-0.101,1.084,0.103
-1.435,-0.246,1.948
-0.316,0.989,0.151
0.703,-0.395,0.772
-1.56,-0.223,2.397
-0.507,-0.583,-0.074
-1.75,0.006,0.855
0.099,-0.047,-1.239
0.083,0.383,0.659
0.371,0.018,-0.224
-0.426,0.214,0.096
0.263,-0.158,0.594
0.2,-1.476,0.948
-0.016,1.051,0.877
-0.072,-0.964,-0.738
-0.15,0.029,-0.553
0.403,0.45,0.244
0.49,0.073,0.187
-0.191,-1.088,0.517
-0.266,0.848,0.775
-0.163,-0.837,-0.366
-0.829,-0.362,-0.918
-0.552,-0.665,1.728
0.283,0.198,0.026
-0.438,0.747,-0.114
-0.246,0.217,0.427
0.113,-0.059,-0.112
-0.233,0.479,-0.278
