ax,ay,az
-0.003,-0.107,-0.032
0.243,0.796,0.62
-0.281,0.329,1.706
0.087,-0.532,1.126
-0.209,-0.606,0.838
-0.716,0.582,0.864
-0.476,-0.086,0.755
-0.482,-0.255,-0.47
0.099,0.437,0.395
0.235,0.517,-0.516
-0.264,-0.114,-0.599
-0.548,0.738,0.418
-0.599,-0.56,0.546
-0.318,-0.777,0.047
-1.575,0.041,2.692
0.282,-0.183,-1.009
-0.464,0.905,0.22
0.121,0.194,-0.068
-0.432,0.433,0.751
-0.645,0.676,1.206
-0.361,-0.059,0.875
0.24,-0.289,0.228
-0.31,0.658,0.529
0.721,-1.237,0.605
0.047,-0.306,-0.194
-0.013,0.066,-0.499
0.617,0.297,-0.042
-0.857,1.741,0.809
0.542,-0.895,-0.103
-0.69,-0.386,0.682
-0.36,-0.065,0.441
-0.785,0.071,1.363
-0.297,0.121,-0.803
-0.153,0.16,-0.242
0.112,0.196,0.046
0.13,0.612,0.425
-0.239,0.378,0.91
0.321,0.049,2.353
0.203,-0.219,0.386
-1.117,0.817,2.072
-0.852,-0.383,-0.774
0.459,-0.577,-0.592
-0.194,0.442,-0.633
-0.788,0.748,-0.813
-0.02,0.212,1.645
-0.419,-0.808,1.851
-0.324,-0.508,1.377
0.052,-0.081,-0.716
-0.297,0.32,-0.422
0.144,-0.064,-0.464
0.162,0.325,0.53
-0.82,0.884,0.322
0.483,0.629,0.957
-0.557,-0.409,1.119
1.221,-0.306,-0.083
0.168,-0.168,-0.244
0.107,0.252,0.592
-0.024,0.429,-0.136
0.342,-0.267,-0.547
-0.184,0.17,-1.02
-0.64,-0.23,0.388
0.44,-0.201,-1.605
0.215,0.44,0.033
0.241,0.652,-0.945
-0.353,0.616,1.205
-0.345,-0.341,0.36
-0.038,-0.872,-0.422
-1.611,0.999,1.959
0.357,-0.827,-1.324
0.068,0.56,0.479
0,0.543,0.335
-0.064,0.391,-0.147
-0.087,0.62,0.296
0.562,-0.329,0.47
0.537,-1.178,1.358
1.154,-0.236,-0.537
-0.977,0.388,1.501
0.019,-0.171,0.275
-0.178,0.479,0
-0.302,0.086,0.751
-0.334,0.524,-0.154
0.665,0.537,-0.935
-0.412,0.388,0.732
-1.377,-0.136,0.664
-0.618,-0.3,1.653
0.616,-0.61,-0.074
-0.135,0.224,-0.136
-0.252,0.122,-0.182
-0.57,0.184,0.726
0.588,0.207,0.763
-0.252,0.243,0.812
0.846,-0.75,-0.499
0.954,0.641,-0.845
