ax,ay,az
0.428,-1.5,1.723
-0.069,-0.02,-0.112
0.107,0.273,0.757
-0.16,0.017,1.433
0.28,-0.097,-0.241
-0.177,0.177,-0.233
-0.015,0.318,-0.41
-1.093,0.099,1.356
-0.035,0.022,-1.555
0.461,-0.115,-0.795
0.254,0.799,-0.271
0.688,1.3,-0.124
0.794,-0.181,0.457
-1.157,0.113,0.827
-0.537,-1.034,-0.308
-0.289,-0.156,-0.469
0.273,-0.236,-1.245
-0.007,0.582,-0.185
0.01,0.193,0.397
0.146,-0.169,-0.89
-0.329,0.343,-0.065
-0.231,0.396,0.088
-0.032,-0.011,0.44
0.661,-0.853,-0.296
0.315,0.545,-0.227
0.01,-0.308,0.386
-0.148,-0.369,-0.262
0.413,-0.174,0.136
-0.175,0.309,0.262
-0.007,1.289,-0.571
-0.565,0.434,0.372
-0.041,-0.018,-1.344
-0.063,0.385,-0.661
-0.04,0.296,-0.179
-0.166,0.465,0.895
1.61,0.08,-0.672
-0.914,0.447,2.863
-0.709,-0.917,1.496
-1.431,-0.372,0.569
-0.449,-0.076,-0.983
-0.14,0.051,0.387
-0.32,0.014,0.208
0.178,0.195,-0.224
0.447,-0.297,0.689
0.295,-0.594,0.94
1.067,0.108,-0.703
-0.311,0.03,-0.149
-0.48,0.537,0.917
0.161,0.215,-1.817
-0.422,-0.221,-0.328
-0.11,-0.598,0.776
-0.291,-0.716,-1.888
-0.192,0.572,0.045
0.135,0.23,-0.667
0.347,0.025,-0.258
0.098,0.004,-0.039
-0.692,-0.128,0.803
-0.868,-0.054,1.132
-0.456,0.047,0.91
-0.704,-0.142,2.156
-0.02,-0.475,-0.457
-0.512,0.26,-0.345
0.267,-0.292,-0.322
-0.197,-0.089,-0.369
-0.301,0.269,2.53
0.202,0.882,0.228
-1.157,-0.376,0.869
0.931,-0.379,-0.889
-0.638,-0.07,0.925
0.035,-0.243,-0.647
0.252,-0.146,-0.072
0.762,-0.122,-0.631
0.05,0.358,-0.292
-0.123,0.323,-0.475
-0.131,0.708,1.11
-0.647,0.274,2.634
0.199,-0.781,-0.739
-0.085,-0.329,-0.164
-0.063,-0.122,-0.199
-0.381,0.471,0.064
-0.086,-0.326,0.241
0.031,0.22,0.019
0.346,0.096,0.701
-0.031,-0.935,0.279
0.675,1.336,-1.903
0.059,-0.004,2.078
-0.226,0.216,-0.644
-0.417,0.247,-0.171
-0.019,0.132,-3.864
-0.583,1.544,-0.818
0.315,0.176,-0.752
0.102,0.596,-0.001
-0.216,0.617,1.192
-0.469,-0.444,0.334
-0.088,-0.255,0.297
-0.519,0.279,0.899
-0.138,-0.336,0.44
-0.119,0.424,0.156
-0.005,0.069,-0.118
0.334,-0.201,-0.355
0.41,0.743,-0.807
