ax,ay,az
0.366,0.361,-0.377
0.171,0.216,1.807
-0.046,0.004,-0.307
-0.003,0.326,-0.92
-0.187,0.684,-0.315
0.019,0.357,0.188
0.243,0.288,0.172
-0.656,-0.517,1.614
-0.496,-0.411,0.068
-0.144,-0.331,1.713
-0.236,0.514,-0.307
-0.307,0.2,-0.178
0.094,-0.203,-0.204
-0.328,-0.031,0.214
1.528,-0.479,-0.027
-0.14,-0.927,1.975
-0.439,0.872,-1.373
0.017,0.243,-0.927
-0.204,0.633,0.343
0.157,1.15,1.527
0.055,0.28,-0.676
-1.131,-1.173,0.153
-0.115,-0.889,0.278
-0.07,-0.24,0.322
-0.285,0.239,0.246
-0.095,0.07,0.452
0.403,0.009,-0.013
0.062,0.27,-0.538
0.106,-0.279,0.749
-0.112,-0.472,0.649
1.081,-0.053,-0.055
-0.662,0.187,1
0.558,-0.512,-0.415
-0.071,0.39,0.788
0.225,0.1,-0.741
0.553,0.571,-0.042
0.622,1.122,-0.39
-1.1,0.786,1.902
-1.478,0.123,2.02
-0.31,-0.562,1.377
-0.665,-0.22,1.217
-0.003,0.051,-0.402
0.07,0.164,0.498
0.256,0.083,-0.034
0.578,-0.787,0.879
0.621,0.556,-0.011
-0.629,0.214,1.515
0.004,0.091,-0.438
0.983,-0.525,-0.475
0.111,0.37,-0.015
-0.029,0.506,0.369
-0.283,0.012,0.368
-0.861,-0.31,1.186
0.177,-0.57,0.44
-0.47,-0.982,1.135
-1.104,0.549,0.683
-0.275,0.263,0.734
0.084,-0.313,0.789
-0.169,-0.22,0.706
1.189,-0.387,-0.126
-0.766,0.23,0.959
-0.422,-0.025,0.535
-0.563,0.328,0.322
0.003,-0.757,3.115
0.35,0.903,0.927
-0.752,-0.907,1.298
0.486,-0.158,-1.516
-1.079,0.229,2.023
0.43,0.194,-0.476
0.434,0.277,0.538
-0.206,-0.032,0.886
0.853,-0.456,-0.345
0.493,0.095,-0.092
0.622,-0.736,0.429
-0.143,-0.095,-0.413
0.382,0.323,-0.338
-0.06,0.983,-0.453
-0.157,0.746,0.691
-0.578,-0.632,1.136
0.346,-0.528,0.35
-1.002,-0.175,2.321
-0.112,-0.228,0.56
-0.076,0.024,0.178
-0.056,-0.028,-0.015
0.361,0.203,-0.146
0.015,-0.01,0.677
-0.05,-0.074,0.715
0.03,-0.085,0.11
0.14,-0.411,-0.776
-0.089,0.997,0.691
0.158,0.488,1.441
-1.043,-0.205,0.754
0.215,-0.846,0.21
-0.686,-0.659,2.544
-0.212,-0.069,0.216
-0.343,0.231,0.961
-0.345,-0.254,0.194
-1.136,0.588,0.445
0.084,0.388,0.161
