ax,ay,az
-0.227,-0.671,-0.256
-1.368,0.139,0.62
-0.572,-0.206,-1.229
-0.232,0.414,-0.416
0.206,0.509,-0.007
0.164,0.742,1.138
-0.173,0.417,1.233
0.224,-0.459,0.784
1.438,-0.961,-0.578
-0.575,1.017,2.229
0.58,-0.869,0.264
-0.451,0.193,-0.453
-0.594,0.719,1.351
-0.072,0.087,-0.541
0.195,0.385,0.267
-0.65,0.285,1.849
0.001,-0.87,-0.535
-0.936,-0.084,1.99
-0.055,-0.978,-0.66
-0.452,0.654,-0.424
-0.183,0.023,-0.226
0.044,0.365,0.142
0.114,0.614,1.293
-0.151,-0.297,0.709
0.826,0.349,0.346
5.979,-2.158,11.901
-2.536,1.221,-3.194
0.82,0.685,-1.07
-0.513,-0.046,1.336
-0.743,0.08,-0.575
-0.758,-0.267,2.014
-0.814,-0.08,-0.633
0.525,0.168,-0.096
0.225,0.354,-0.063
0.002,0.264,-0.247
0.318,0.37,-0.815
0.295,-0.093,0.355
0.246,-0.812,1.041
0.202,0.573,0.541
-0.181,-0.786,0.101
0.091,-0.396,-0.698
-0.314,0.726,1.31
0.217,0.835,-0.359
0.44,0.123,0.888
-0.58,-0.323,0.972
-0.626,-0.548,0.084
-0.739,-0.059,1.321
-0.037,0.083,-0.476
-0.037,0.113,-0.417
0.004,0.101,-0.187
-0.399,0.372,0.243
-0.522,0.268,1.315
0.7,-0.642,1.861
-0.576,-0.128,0.891
1.207,0.445,-0.192
-0.338,0.171,-0.685
0.514,-0.387,-0.939
-0.09,0.189,0.112
0.154,1.081,1.017
-0.29,0.514,1.037
-1.396,-0.495,0.548
-0.691,-1.102,0.715
-0.402,-0.728,-0.919
-0.152,0.678,-0.473
0.119,-0.337,-0.285
0.294,-0.004,-0.627
0.666,0.54,-0.467
0.253,0.073,1.776
0.268,0.583,0.9
-0.06,-0.216,0.943
-0.237,-0.852,-0.499
-0.998,-0.101,1.236
0.023,-0.147,-0.821
-0.049,0.325,-0.398
0.04,0.041,-0.11
0.241,0.637,0.398
0.393,0.278,1.467
0.547,-0.737,2.087
0.222,0.141,-0.759
-0.443,0.503,0.532
-0.679,-0.499,-1.431
1.364,-0.854,2.114
-0.053,0.253,-0.614
0.347,0.482,0.326
0.436,-0.272,1.438
-0.129,-0.535,-0.015
-0.816,-0.542,0.975
-0.192,-0.142,-0.463
-0.318,0.309,-0.067
-0.079,0.004,-0.049
0.293,0.905,-0.027
-0.092,-0.042,0.795
0.972,-1.167,1.864
0.067,-0.799,1.665
0.04,0.616,0.063
-0.058,-0.46,0.052
-0.695,0.53,-0.538
0.776,-0.493,0.737
0.606,-0.289,-1.182
0.49,0.825,-0.356
-0.084,0.283,0.081
-1.463,-0.323,1.741
0.094,-0.857,0.454
-0.751,-0.202,1.616
-0.436,-0.006,-0.523
-0.09,0.107,0.15
-0.008,0.183,0.477
0.793,0.463,0
0.01,0.065,0.901
0.282,-1.563,1.654
0.777,0.358,-0.594
-0.12,0.137,0.402
-0.618,0.632,1.83
-0.184,-0.789,0.342
-1.103,-0.365,1.538
0.017,-0.562,-0.309
-0.153,0.785,0.412
0.249,0.229,0.379
0.119,-0.05,0.181
0.433,0.277,-0.783
-0.129,0.061,-0.369
0.141,-0.157,1.214
-0.008,-0.98,1.013
0.968,0.328,-0.883
-0.809,0.787,1.675
