ax,ay,az
0.126,-0.771,2.085
0.265,-0.692,0.718
0.452,0.102,0.112
0.217,0.38,-0.581
0.132,0.694,-0.328
0.2,0.922,0.615
0.028,0.26,1.089
-0.544,-0.242,1.258
-0.466,-0.607,0.527
-0.83,-0.799,1.309
-0.479,0.058,-0.491
-0.157,0.518,0.698
0.176,0.519,0.663
-0.086,0.795,-1.269
0.616,-0.635,1.413
-0.384,-0.452,0.12
0.285,-0.11,-0.815
-0.142,0.217,-0.954
0.126,-0.103,-0.251
1.312,0.355,-0.802
0.214,1.713,1.872
-0.335,1.368,0.953
-0.924,-0.205,0.135
-0.596,-1.375,0.255
0.014,-1.803,2.097
0.228,-0.225,1.739
-1.075,0.542,1.51
-1.026,0.285,-0.247
-0.564,0.095,0.029
1.152,-0.097,-1.579
0.639,-0.873,-0.144
0.151,0.732,0.668
-0.134,1.236,-0.108
0.15,-0.847,0.759
-0.905,-0.163,0.503
-0.429,-0.55,1.622
-0.767,-0.294,0.088
-0.318,0.026,0.349
-0.236,0.226,0.498
-0.348,0.525,-0.07
0.459,-0.358,-0.417
0.486,-0.214,0.528
-0.452,0.565,-0.887
0.909,-1.083,1.062
-1.141,0.757,1.517
0.02,-0.425,-1.316
-0.161,0.097,-0.74
1.345,-0.117,-1.116
-0.179,0.596,1.007
-0.079,0.669,-0.136
-1.238,-0.289,1.95
-0.696,-0.809,1.193
-0.244,-0.897,1.259
-0.31,-0.041,-0.194
-0.993,0.738,1.741
-0.97,-0.013,0.716
0.669,0.095,-1.043
-0.299,-0.247,1.744
-0.002,1.427,-0.496
-0.394,0.619,1.595
-0.869,-0.27,1.383
-1.089,-0.132,1.157
0.753,-0.806,-1.96
-0.337,0.165,-0.119
0.071,-0.55,-0.104
0.021,-0.996,0.04
0.838,0.686,-0.504
0.028,0.568,0.745
0.598,-0.435,0.675
0.776,0.3,-0.64
0.016,0.502,-1.489
0.377,0.728,-0.113
0.512,0.51,1.038
-0.916,-0.367,0.645
-0.593,-0.496,0.518
-0.812,-0.555,1.696
0.517,-0.08,-0.762
-0.071,0.27,-0.343
-0.455,0.316,0.49
-0.499,0.138,0.412
-0.476,0.425,0.477
-0.945,0.89,0.29
0.244,0.493,-2.909
0.442,-0.69,-0.554
0.442,-0.914,0.249
1.52,-0.922,-1.018
0.103,-0.763,0.022
0.066,0.091,-1.466
-0.013,0.397,-0.158
0.977,0.053,0.344
1.305,-0.359,0.562
-1.139,1.183,-1.01
-0.004,-0.548,0.369
-0.983,-0.545,0.833
-0.829,-0.076,1.607
0.211,-1.369,0.904
-0.337,0.54,-0.849
-0.195,0.924,0.208
0.102,-0.173,-0.148
-0.732,0.108,-0.877
