ax,ay,az
0.296,-0.24,-0.267
-0.059,0.724,-0.107
-0.455,0.281,0.508
0.061,0.209,-1.35
-0.583,0.375,0.41
-0.366,0.875,0.475
0.177,0.962,0.759
-0.635,-1.522,0.854
-0.328,-0.486,0.219
0.013,0.255,-0.029
-0.483,0.711,-0.092
0.238,-0.197,-0.565
0.302,0.21,-0.332
0.899,0.079,-0.22
-0.301,-0.374,0.432
-0.46,0.132,1.768
1.026,-0.112,-0.608
-0.342,0.142,0.592
0.878,-0.457,-1.101
-0.153,0.638,-0.1
1.006,-0.415,-2.168
-0.228,0.721,-1.889
-0.356,0.833,0.07
0.252,0.627,0.535
-0.218,0.172,0.602
-1.081,-0.343,0.783
0.153,-0.716,0.304
-0.62,-0.014,1.126
-0.3,0.18,-1.727
-0.228,0.719,-0.305
-0.383,0.953,0.127
0.166,0.213,0.128
0.151,0.053,0.733
0.403,0,0.523
0.199,-1.053,1.054
0.697,0.042,-0.526
0.073,-0.14,-0.04
0.206,0.123,-0.029
-0.173,0.288,0.078
0.455,-0.011,0.749
-0.338,0.537,0.736
0.049,0.336,-0.721
0.273,-0.104,-0.041
-0.457,0.027,1.996
0.132,-0.93,-0.314
-0.718,0.15,0.775
0.156,0.012,-1.066
0.14,0.237,-0.22
-0.055,0.051,0.032
-0.686,1.253,0.021
-0.071,0.26,1
0.561,-0.492,0.502
0.139,-0.773,1.217
0.281,0.614,0.14
-0.059,-0.146,0.307
0.418,-0.766,-0.694
-0.283,0.428,-0.603
1.013,0.336,-1.862
-1.592,-0.267,1.058
0.014,-0.23,-0.299
-1.731,1.335,0.405
-1.482,0.009,-0.741
-0.352,-0.47,-0.182
-0.315,0.29,0.937
-0.467,0.142,1.013
-0.491,-0.41,0.401
0.342,-0.509,-0.628
1.254,0.591,0.71
1.167,0.566,1.178
1.141,-0.345,-0.254
0.377,0.406,0.15
0.181,-0.373,-0.12
0.383,0.05,0.733
-0.528,0.088,0.171
-0.441,-0.264,0.63
-0.278,0.424,0.534
-0.176,-0.181,0.862
0.174,0.068,-0.464
-0.12,0.537,-0.075
1.133,0.003,-0.853
-0.307,0.164,-0.803
-0.138,0.015,-0.727
-0.114,0.102,0.266
-0.201,0.853,0.247
-0.215,0.472,0.189
-0.357,-0.142,1.052
-0.078,-0.393,0.692
