ax,ay,az
0.086,-0.557,0.424
-1.049,-0.559,1.586
-0.438,-0.128,-0.758
0.188,0.061,1.115
-0.052,0.372,0.198
0.903,0.014,0.229
-0.472,-0.256,1.074
-0.268,-0.486,0.678
0.655,0.964,-0.275
0.466,1.119,0.842
-0.073,-0.608,1.226
-0.646,-0.367,0.646
-1.027,-0.534,1.625
-0.126,0.3,-0.721
-0.471,0.414,1.172
-0.138,0.251,0.167
-0.246,0.115,1.055
-0.708,0.821,0.921
-0.119,-0.124,-0.018
0.375,0.363,0.019
-0.087,0.378,-0.211
0.336,0.572,-0.917
0.115,1.002,0.094
-0.158,1.586,-1.076
0.094,-0.793,1.916
-0.613,-1.225,0.342
-1.075,0.619,0.748
-0.165,0.098,0.016
0.188,-0.157,0.161
0.273,0.135,0.225
0.038,-0.002,0.859
-0.364,0.914,0.254
0.722,-0.979,0.05
0.723,-0.463,2.429
-0.83,-1.155,1.153
-0.156,-1.006,0.597
0.42,0.006,-0.365
-0.038,-0.18,0.049
-0.872,1.198,0.011
-0.094,0.304,0.952
-0.868,1.367,1.431
-0.566,-0.619,2.459
1.115,1.633,-0.781
-0.264,0.772,2.308
-1.183,-1.595,-0.037
-1.078,0.452,0.93
-0.201,0.54,0.015
0.068,-0.626,0.502
-0.29,0.543,0.072
0.349,-0.165,0.745
0.269,0.594,1.333
-0.13,-0.854,0.954
0.514,-0.012,1.369
0.375,0.566,0.91
-1.006,-1.312,0.506
-0.102,-1.168,1.614
-0.829,0.853,1.324
0.28,-0.629,0.092
-0.594,0.767,0.635
-0.13,0.174,0.802
0.026,0.88,-0.106
-0.285,-0.827,2.269
0.786,-0.232,-0.522
-1.717,-0.653,3.121
-1.52,0.924,-0.457
-0.286,0.667,-0.075
0.075,-0.866,0.691
-0.651,1.344,-0.73
0.384,-0.162,0.897
0.859,0.754,-1.278
-0.043,-0.67,2.233
0.391,-0.555,0.877
0.909,0.877,-0.324
0.971,1.274,0.688
-0.103,-0.454,1.055
-1.317,-0.444,0.772
-0.291,-0.584,0.181
0.069,0.095,0.37
-0.102,-0.281,0.455
-0.444,0.018,0.815
0.495,0.351,1.563
-0.224,-0.765,1.352
-1.425,0.583,1.19
0.983,-0.772,-1.454
0.847,0.898,0.61
-0.234,-0.106,1.69
-1.296,-0.391,0.967
-0.834,0.281,1.047
-0.148,-0.323,-0.842
-1.049,0.527,0.648
-0.296,0.565,0.373
0.343,-0.482,1.551
0.398,-0.128,0.993
0.739,-0.936,1.277
-0.041,0.73,-0.806
0.096,-0.105,0.378
0.295,2.189,0.748
-1.108,-1.306,1.222
-0.777,-1.708,-0.412
0.045,0.521,-0.206
0.288,-0.49,0.501
-0.276,0.208,0.744
0.272,-0.019,0.37
-0.013,0.831,-0.149
0.509,-0.791,-0.467
0.294,-0.448,0.008
-0.678,-0.332,2.649
0.252,-2.118,-1.589
-1.079,0.284,1.47
-0.028,0.681,-0.476
-0.192,-0.297,-0.086
0.48,0.128,0.698
