ax,ay,az
-0.008,-0.204,-0.018
-0.31,-1.164,1.177
1.526,0.119,-0.868
-0.841,0.777,1.411
-0.037,-0.256,-0.048
-0.147,0.153,-0.224
-0.006,-0.019,0.481
-0.075,-0.493,-1.852
0.189,0.087,-0.152
-0.002,0.428,0.275
0.118,0.374,0.666
-0.227,0.054,1.875
0.313,-1.146,-1.317
-1.177,-0.478,1.354
0.163,-0.157,-0.47
0.303,0.759,-0.076
0.282,-0.003,-0.002
0.106,0.16,0.08
-0.555,0.611,1.125
0.043,0.148,0.083
-0.141,-0.728,0.828
0.798,0.342,-0.379
-0.49,-0.564,-0.23
0.043,-0.231,-0.142
0.516,0.223,-0.069
0.726,0.013,-0.076
-0.206,0.783,-0.471
0.218,0.703,-0.237
-1.421,1.203,2.439
-1.152,-0.679,1.128
-0.086,-0.952,-0.821
-0.249,-0.368,1.181
-0.788,0.687,0.785
-0.218,0.318,0.479
-0.242,0.309,-0.181
-0.686,0.597,-0.087
0.319,0.025,-0.809
0.7,-1.007,-0.981
-0.311,-0.549,2.285
0.816,0.355,0.254
-0.882,1.432,-0.091
0.519,-0.746,-1.089
0.545,-0.561,-0.791
0.148,-0.465,-1.269
-0.274,0.194,-0.948
0.147,0.071,0.318
0.273,0.337,0.333
-0.479,0.914,1.998
-0.132,-0.427,0.333
-0.303,-0.629,-0.468
-0.67,-0.299,1.441
-0.042,-0.233,0.002
-0.332,0.429,-0.042
-0.031,-0.002,-0.145
-0.112,0.139,-0.517
-0.049,0.831,-0.555
-0.15,-0.375,0.621
0.29,-0.963,1.413
-0.5,1.027,1.25
0.007,-0.705,-0.253
-0.024,0.193,-0.23
0.119,0.459,1.13
-0.279,-0.281,-0.442
-0.119,0.255,0.105
-0.201,0.247,-2.164
0.229,0.554,-0.499
0.35,0.385,0.012
-0.213,0.769,-0.29
-0.716,0.098,1.09
0.342,-1.05,-0.358
-1.14,-0.266,2.433
0.765,0.412,-1.657
-1.904,1.732,2.726
0.358,-0.66,-1.092
-0.432,0.021,-0.504
0.196,0.763,1.141
-0.377,-1.045,1.664
1.508,-1.254,-0.537
-0.554,0.889,-0.318
-0.799,-0.055,0.438
0.609,-0.31,0.204
0.584,-0.244,0.753
0.516,-0.138,-0.499
-0.041,0.58,-1.011
-0.257,0.87,0.465
0.385,0.868,0.376
-0.685,-0.447,0.563
-0.184,-0.53,-0.39
-0.389,-0.706,1.022
-0.224,-0.233,0.967
-0.258,-0.199,0.356
0.268,-0.225,-0.735
-0.049,0.167,0.05
0.1,0.359,-0.198
-0.592,0.267,1.362
-0.164,-0.294,0.26
0.531,0.137,-0.086
0.149,1.242,0.529
-0.23,-0.328,0.314
-0.147,-0.026,0.527
-0.417,0.398,0.682
-0.621,0.852,0.127
