ax,ay,az
0.113,0.184,0.859
0.257,-0.852,0.772
-0.307,-0.501,1.085
1.385,0.15,-0.314
-0.74,-0.198,1.344
0.375,0.007,-0.416
0.23,-0.195,-0.24
-0.689,0.632,-0.736
0.562,0.642,0.847
0.12,0.427,-0.525
0.154,1,0.038
0.185,0.146,1.023
-0.51,-0.39,1.972
-0.035,-0.739,0.009
0.301,0,0.604
-0.061,0.197,0.457
-0.163,0.299,0.064
-0.217,0.493,-0.038
0.065,-0.067,0.555
0.626,-0.5,0.681
0.207,-0.315,0.351
0.508,0.101,1.361
0.649,0.735,-0.587
-2.042,-0.132,0.803
0.876,-0.92,-0.8
-0.697,0.369,1.151
0.546,1.145,-0.798
-0.234,-0.281,-1.029
0.27,0.217,0.408
0.187,0.074,-0.96
0.096,1.444,0.251
0.432,0.549,1.263
-1.319,-0.494,1.181
-0.958,-0.943,0.416
-0.492,-0.161,-0.285
0.225,0.449,-0.226
0.703,-0.407,-0.742
0.35,0.141,-0.522
-0.332,0.368,0.734
0.385,0.221,-0.372
-0.149,-0.232,0.983
0.057,-0.595,-0.179
-0.072,1.491,0.791
-0.256,-0.229,-0.119
0.005,-0.522,-0.588
0.511,-0.503,-0.001
0.501,0.397,-1.237
0.168,0.198,0.194
-0.026,-0.061,-0.746
0.273,0.421,0.07
0.039,0.665,1.318
-0.922,0.056,1.129
0.015,-0.598,0.194
-0.146,-0.522,0.79
-0.21,0.334,-0.399
-0.554,0.773,0.083
0.134,0.565,0.651
-0.624,0.768,0.145
0.123,-1.041,0.915
0.699,-0.358,-0.425
0.144,-0.76,1.518
0.571,0.919,-0.577
-0.328,-0.019,-0.29
0.131,-0.623,-1.005
0.01,0.005,-0.018
-2.146,2.119,-1.95
-0.178,0.016,-1.133
-0.635,-0.56,-0.627
-1.31,0.011,0.211
-0.749,0.162,-0.074
-0.917,0.373,1.225
0.079,-0.372,0.234
-0.684,0.656,0.504
-0.927,-0.506,1.047
1.142,-0.923,-1.174
1.046,0.39,0.387
0.872,0.19,-0.062
-0.203,0.696,0.606
-0.454,-0.01,0.617
-1.039,-0.648,0.229
-0.236,-0.519,-0.221
-0.16,0.098,-0.13
-0.379,0.215,-0.263
0.125,-0.072,-0.727
-0.032,0.22,0.062
0.24,0.122,0.039
0.038,-0.305,0.55
0.17,-0.309,0.838
0.113,-0.378,1.325
-0.319,0.025,1.245
0.431,-0.51,0.443
0.147,0.043,-0.015
0.386,0.06,-0.209
0.57,0.003,-0.322
-0.227,0.126,0.121
-0.445,-0.291,0.055
0.211,-0.305,-1.54
-0.532,0.112,-1.412
0.144,0.529,-1.555
