ax,ay,az
0.16,0.458,0.765
0.125,-0.318,0.512
-0.468,-0.536,0.861
0.226,-0.001,-0.418
-0.308,-0.183,2.435
0.426,1.57,-0.11
-0.385,0.462,1.741
-0.392,-1.803,-0.816
-0.489,-0.144,1.087
-0.182,0.711,-0.368
-0.105,0.198,-0.108
0.164,0.08,0.155
0.409,0.508,0.483
-0.663,-0.276,1.923
0.014,-0.041,0.483
0.086,-0.327,0.132
-1.199,0.993,-2.799
0.082,-0.96,1.688
0.152,0.976,-0.294
0.175,0.3,1.412
-1.207,-0.436,0.908
0.317,-1.677,0.525
-0.648,1.039,0.557
0.196,-0.221,-0.369
-0.118,-0.395,-0.288
0.271,-0.158,0.033
0.492,0.777,0.201
0.188,0.13,0.466
0.369,-0.189,1.452
-0.047,-0.429,-0.012
0.172,0.36,1.301
0.883,-0.472,-1.357
0.213,-0.501,0.93
0.444,0.453,0.49
-0.799,-0.382,1.325
-0.497,-0.991,0.084
-0.928,0.735,0.846
0.301,0.036,-0.36
0.069,-0.095,-0.319
0.117,0.28,-0.276
0.453,-0.114,-0.346
-0.244,0.381,-0.361
0.426,0.71,-0.149
0.235,-0.664,1.23
-0.345,0.37,0.475
0.222,-0.25,0.856
-0.147,-0.126,1.007
-0.865,-0.996,1.084
-0.272,-0.078,0.685
-0.568,0.699,0.379
-0.41,0.035,-0.236
-0.381,0.06,-0.428
0.018,0.344,-0.579
0.14,-0.056,0.485
0.045,0.282,0.539
-0.067,0.18,0.941
0.996,-0.528,1.126
-0.245,-0.058,1.029
0.113,0.099,1.259
0.935,0.874,1.047
0.585,0.012,0.874
-0.884,-1.332,1.101
-0.691,-0.587,0.595
-0.574,0.257,-0.192
-0.055,-0.161,0.082
-0.154,0.08,0.375
0.04,-0.22,0.649
0.093,0.3,0.957
0.371,0.396,0.253
0.084,0.727,-0.218
0.094,-0.126,-0.21
0.652,-1.025,-1.604
1.136,0.2,-0.067
0.111,0.788,0.205
0.06,1.306,0.328
0.712,0.048,1.204
-0.845,-1.347,0.727
-0.612,-1.37,-0.087
-0.762,1.127,0.553
0.575,0.119,-0.077
-0.098,0.159,0.058
0.323,-0.326,-0.174
0.074,0.019,-0.249
-0.908,0.578,1.754
1.181,-0.3,0.59
0.52,-0.312,-0.48
-0.335,-0.112,0.572
0.047,0.257,-0.187
-1.127,0.043,2.284
0.519,0.545,-1.127
1.511,1.37,-1.517
0.659,0.643,1.99
-1.247,0.051,2.013
-0.516,-2.15,0.186
-0.497,0.521,2.09
0.33,-0.118,0.651
-0.108,0.949,0.976
0.957,-1.029,1.031
0.136,-0.696,0.14
-0.42,0.575,2.875
1.127,-0.63,-0.402
0.747,0.289,-1.064
-0.005,1.288,-0.267
0.179,-0.943,1.217
-0.147,-0.333,0.811
-0.71,0.006,1.553
-0.041,-0.181,-1.461
0.082,0.184,-0.454
-0.467,0.374,-0.651
1.18,-0.063,0.208
0.453,0.57,1.494
0.379,-1.221,-0.883
0.545,0.023,0.352
0.866,0.379,-0.126
-0.712,1.461,-0.303
-0.705,0.683,0.496
