bioID,useFirst,lastName,pos,height,weight,college,hsState,race,GP,minutes,points,oRebounds,dRebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade
fordtj01,T.J.,Ford,G,70,165,Texas,TX,B,429,27.711,11.1818,0.69,2.4103,5.8159,1.1562,0.1305,2.4406,2.2657,9.8438,4.2634,2.8951,2.359,1.0233,0.296
fortsda01,Danny,Fortson,F,79,260,Cincinnati,PA,B,440,20.0727,8.2159,2.7159,4.5205,0.6841,0.4136,0.2136,1.4886,3.5295,5.7591,2.7182,3.5364,2.775,0.0273,0.0045
fostegr01,Greg,Foster,F-C,83,240,UTEP,CA,W,656,12.1555,3.8689,0.7759,1.8018,0.5351,0.1433,0.2957,0.7088,1.8613,3.6311,1.596,0.8643,0.6463,0.1357,0.0305
fosteje01,Jeff,Foster,F-C,83,230,Southwest Texas State,TX,W,764,20.6309,4.9045,2.7487,4.1217,0.9202,0.6636,0.4031,0.8024,2.5144,3.8743,1.9267,1.695,1.0419,0.0707,0.0092
fowlktr01,Tremaine,Fowlkes,F,79,208,Fresno State,CA,B,103,11.9417,2.9223,0.9126,1.301,0.5243,0.4563,0.0583,0.4854,1.4175,2.4951,1.0194,1.068,0.8447,0.1942,0.0388
foxri01,Rick,Fox,G-F,78,230,North Carolina,IN,B,930,25.5086,9.6409,1.071,2.7108,2.8484,1.0398,0.3817,1.7323,2.9452,8.0849,3.6366,1.9978,1.5387,2.3742,0.829
foyera01,Randy,Foye,G,76,210,Villanova,NJ,B,389,27.0771,11.6015,0.3856,2.0077,3.1954,0.7378,0.2699,1.653,2.2159,10.0977,4.1517,2.3342,2.0103,3.5193,1.2879
foylead01,Adonal,Foyle,C-F,82,250,Colgate,NY,B,733,17.8186,4.0778,1.7749,2.9468,0.4693,0.3602,1.6276,0.8145,2.1487,3.7735,1.7981,0.9645,0.4816,0.0027,0
frahmri01,Richie,Frahm,G,77,210,Gonzaga,WA,W,140,10.5214,3.5857,0.2571,0.9143,0.5929,0.2643,0.0714,0.25,0.8714,3.0929,1.2714,0.45,0.3643,1.9071,0.6786
francst01,Steve,Francis,G,75,193,Maryland,MD,B,576,37.5573,18.1354,1.6667,3.9149,6.0295,1.4688,0.3872,3.5243,3.1476,14.3524,6.151,6.066,4.8351,2.9236,0.9983
fredean01,Anthony,Frederick,F,79,205,Pepperdine,CA,B,101,13.1386,5.604,1.099,1.1584,1.1386,0.6139,0.3861,0.9703,1.396,5.3267,2.2574,1.505,1.0495,0.1683,0.0396
fryech01,Channing,Frye,C,83,248,Arizona,AZ,B,500,23.92,9.666,1.158,4.004,0.994,0.528,0.71,0.978,2.882,8.386,3.734,1.584,1.29,2.326,0.908
fulleto02,Todd,Fuller,F-C,83,255,North Carolina State,NC,W,225,11.1111,3.7111,1.0667,1.9289,0.2044,0.1511,0.2667,0.6489,1.56,3.3422,1.4089,1.3378,0.8933,0.0178,0
fundela01,Lawrence,Funderburke,F,81,230,Ohio State,OH,B,318,14.8616,6.3868,1.4057,2.1855,0.5755,0.2956,0.3145,0.7075,1.1321,5.0503,2.5535,1.8868,1.2736,0.0535,0.0063
gadzuda01,Dan,Gadzuric,C,83,240,UCLA,MA,B,527,14.7818,4.6812,1.7268,2.6869,0.3719,0.4611,0.8501,0.6774,2.3719,3.9867,1.9924,1.3985,0.6964,0.0152,0
gainesu01,Sundiata,Gaines,G,73,195,Georgia,NY,B,113,11.5929,4.4956,0.4071,1.1416,1.8319,0.7345,0.0265,0.823,0.885,4.0531,1.6106,1.5752,0.885,1.292,0.3894
gallida01,Danilo,Gallinari,F,82,225,none,,W,214,30.9112,13.9673,0.771,3.715,1.729,0.8505,0.5234,1.2897,2.1916,10.0841,4.2336,4.3645,3.7196,4.8411,1.7804
gamblke01,Kevin,Gamble,F-G,77,210,Iowa,IL,B,525,24.9981,10.6762,0.6,1.8762,2.1829,0.8114,0.3143,0.9943,2.1124,8.8876,4.4762,1.5771,1.299,1.1505,0.4248
garcifr01,Francisco,Garcia,G-F,79,195,Louisville,MA,B,422,22.6209,8.6303,0.5829,2.1896,1.436,0.846,0.7393,1.1209,2.372,7.1137,3.1066,1.7156,1.3863,2.8649,1.0308
garlawi01,Winston,Garland,G,74,170,SW Missouri State,IN,B,286,23.9371,7.8636,0.6748,1.6469,4.1399,1.0664,0.1713,1.6189,2.4301,7.0699,3.0629,1.9476,1.6049,0.4965,0.1329
garneke01,Kevin,Garnett,F,83,220,none,SC / IL,B,1255,36.4813,19.3386,2.3992,8.2088,4.0359,1.3259,1.5227,2.3402,2.4741,15.5498,7.7522,4.6821,3.698,0.4821,0.1363
garrede01,Dean,Garrett,F-C,82,225,Indiana,CA,B,359,19.4123,4.8384,1.663,3.3788,0.5682,0.468,1.0362,0.5655,1.9136,4.1894,2.0111,1.2061,0.8162,0,0
garripa01,Pat,Garrity,F,81,238,Notre Dame,CO,W,552,20.0417,7.2772,0.6214,2.0181,0.8025,0.4457,0.1884,0.7554,2.308,6.4185,2.6793,0.962,0.7754,2.875,1.1431
garrito01,Tom,Garrick,G,74,185,Rhode Island,RI,B,107,14,3.7103,0.486,1.2243,3,0.9159,0.0561,1.028,1.4486,3.5421,1.486,0.9813,0.729,0.243,0.0093
gasolma01,Marc,Gasol Saez,C,85,265,none,TN,W,297,33.4848,13.0842,2.2997,5.7576,2.3973,0.9024,1.5354,1.9057,3.3165,9.2357,4.8788,4.5859,3.3131,0.0707,0.0135
gasolpa01,Pau,Gasol Saez,F,84,227,none,,W,796,36.049,18.6709,2.7852,6.4296,3.245,0.5465,1.6721,2.3442,2.3367,13.5578,7.0553,6.0188,4.5276,0.1407,0.0327
gatlich01,Chris,Gatling,F-C,82,220,Old Dominion,NJ,B,700,19.6571,10.3314,1.7829,3.5614,0.6586,0.6629,0.5357,1.5271,2.6714,7.8129,4.0057,3.4086,2.2486,0.2871,0.0714
gattike01,Kenny,Gattison,F-C,80,225,Old Dominion,NC,B,352,22.3665,8.9375,1.6534,3.6278,1.0483,0.6562,0.7472,1.2699,3.0938,6.7472,3.5227,2.9148,1.892,0.0227,0
gayru01,Rudy,Gay,F,81,220,Connecticut,MD,B,437,36.1556,17.9382,1.5286,4.2105,1.9359,1.3364,0.8902,2.2838,2.5469,15.1053,6.8924,4.0572,3.1281,2.9542,1.0252
gearyre01,Reggie,Geary,G,74,187,Arizona,CA,B,101,9.2178,2.0693,0.2277,0.5842,1.0891,0.495,0.1386,0.5644,1.297,2.2475,0.7723,0.6634,0.3267,0.604,0.198
geeal01,Alonzo,Gee,G,78,220,Alabama,FL,B,130,24.0538,8.2692,1.3692,2.7615,1.2077,1,0.2769,1.3769,1.9692,6.7231,2.8923,2.5462,1.9615,1.5154,0.5231
geigema01,Matt,Geiger,C,84,243,Georgia Tech,FL,W,552,22.1395,9.1649,2.087,3.6341,0.7029,0.5543,0.6286,1.3478,2.9511,7.3967,3.6938,2.4004,1.7482,0.125,0.029
gelabmi01,Mickael,Gelabale,F,79,215,none,,B,109,15.6422,4.4862,0.6881,1.4312,0.8165,0.3119,0.2844,0.6972,1.2752,3.8624,1.7523,0.9174,0.7339,0.7706,0.2477
georgde01,Devean,George,G-F,80,220,Augsburg (MN),MN,B,630,18.546,5.6127,0.8667,2.2683,0.8619,0.6921,0.3651,0.7095,2.0159,5.3333,2.0921,1.0413,0.7508,1.9778,0.6778
georgpa01,Paul,George,F,80,210,Fresno State,CA,B,127,25.378,10.0315,0.7323,3.9449,1.7559,1.3386,0.5039,1.4724,2.5039,8.1417,3.622,2.2283,1.7559,2.9291,1.0315
georgta01,Tate,George,G,77,190,Connecticut,NJ,B,177,11.4068,4.1582,0.3672,0.6497,1.8362,0.4294,0.0621,0.887,1.0282,4.0508,1.678,0.9718,0.7966,0.0791,0.0056
gibsoda01,Daniel,Gibson,G,74,190,Texas,TX,B,351,23.9231,8.1624,0.3903,1.6952,1.9744,0.6068,0.2336,0.9744,2.057,6.8348,2.7949,1.3818,1.0855,3.5783,1.4872
