Hurricane Data
Date,Hour,Latitude,Longitude,Windspeed,Pressure
27-Aug-2001,18,40.6,59.4,69,994
28-Aug-2001,0,42.1,57.5,69,995
28-Aug-2001,6,43.5,56.0,63,996
28-Aug-2001,12,44.0,53.4,58,997
28-Aug-2001,18,45.5,50.5,52,998
29-Aug-2001,0,47.0,48.5,52,999
29-Aug-2001,6,49.0,45.0,52,999
29-Aug-2001,12,51.0,40.9,46,1000
01-Sep-2001,18,12.5,34.3,35,1006
02-Sep-2001,0,12.9,35.9,35,1005
02-Sep-2001,6,13.2,37.5,46,1002
02-Sep-2001,12,13.5,39.0,52,1003
02-Sep-2001,18,14.1,40.6,52,1003
03-Sep-2001,0,14.7,42.2,52,1003
03-Sep-2001,6,15.3,43.7,58,1003
03-Sep-2001,12,15.9,45.3,58,1003
03-Sep-2001,18,16.3,47.1,46,1002
04-Sep-2001,0,16.7,48.7,46,1002
04-Sep-2001,6,17.0,50.3,52,1000
04-Sep-2001,12,17.0,52.0,52,1000
04-Sep-2001,18,17.2,53.4,52,1000
05-Sep-2001,0,17.4,54.8,52,1000
05-Sep-2001,6,17.8,55.9,52,1000
05-Sep-2001,12,18.1,57.0,40,1013
05-Sep-2001,18,19.0,57.9,29,1014
06-Sep-2001,0,20.1,58.1,17,1015
06-Sep-2001,6,21.2,58.2,17,1015
06-Sep-2001,12,22.2,58.3,23,1014
06-Sep-2001,18,23.2,58.4,29,1013
07-Sep-2001,0,23.9,58.1,29,1012
07-Sep-2001,6,24.4,57.6,35,1008
07-Sep-2001,12,24.9,57.8,35,1008
07-Sep-2001,18,25.3,58.0,40,1005
08-Sep-2001,0,26.0,58.3,40,1004
08-Sep-2001,6,26.5,58.8,46,999
08-Sep-2001,12,27.2,59.2,52,999
08-Sep-2001,18,28.4,59.8,69,994
09-Sep-2001,0,29.7,60.4,86,987
09-Sep-2001,6,30.6,61.3,104,982
09-Sep-2001,12,31.5,62.2,109,979
09-Sep-2001,18,32.4,62.8,121,968
10-Sep-2001,0,33.3,63.3,121,969
10-Sep-2001,6,34.2,64.1,121,969
10-Sep-2001,12,34.9,64.7,115,969
10-Sep-2001,18,35.7,65.4,104,970
11-Sep-2001,0,36.4,65.7,92,973
11-Sep-2001,6,36.9,65.9,92,976
11-Sep-2001,12,37.4,65.6,92,976
11-Sep-2001,18,37.8,65.1,92,976
12-Sep-2001,0,38.0,64.3,92,976
12-Sep-2001,6,38.0,63.3,86,979
12-Sep-2001,12,37.9,62.6,86,979
12-Sep-2001,18,37.9,62.0,86,979
13-Sep-2001,0,38.1,61.4,86,979
13-Sep-2001,6,38.3,61.0,81,982
13-Sep-2001,12,38.8,60.6,81,982
13-Sep-2001,18,39.6,60.2,81,982
14-Sep-2001,0,40.6,59.3,81,982
14-Sep-2001,6,42.0,58.1,75,987
14-Sep-2001,12,43.3,56.7,75,987
14-Sep-2001,18,44.7,55.2,75,984
15-Sep-2001,0,46.7,52.7,69,981
15-Sep-2001,6,49.0,51.0,69,981
15-Sep-2001,12,52.0,49.0,63,978
15-Sep-2001,18,55.0,47.5,63,976
16-Sep-2001,0,58.0,46.0,63,972
16-Sep-2001,6,60.0,44.5,63,976
16-Sep-2001,12,61.5,42.0,63,981
